id,name,type,address,street_one,street_two,city,state,zip_code,location_description,date_from,date_to,open_time1,close_time1,open_time2,close_time2,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,SNAP,WIC,FMNP,fresh_produce-healthy,MRFEI_score,latitude,longitude,open_to_spec_group,food_bucks
NA,Avalon Fuel,Convenience Store,901 Ohio River Blvd,NA,NA,NA,PA,15202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.495759,-80.066508,NA,NA
NA,Ez Energy #303/7Eleven #36183H,Convenience Store,209 Ohio River Blvd,NA,NA,NA,PA,15143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.545418,-80.194152,NA,NA
NA,EZ Energy #311 / 7 Eleven #36191H,Convenience Store,8136 Ohio River Blvd,NA,NA,NA,PA,15202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.510522,-80.094268,NA,NA
NA,Getgo #3646 / Crafton - Ingram,Convenience Store,280 Crafton Ingram Shopping circle,NA,NA,NA,PA,15205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.203322,-77.194525,NA,NA
NA,Mt NeBlvd Texaco,Convenience Store,1706 Mt Nebo Rd,NA,NA,NA,PA,15143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.553281,-80.109158,NA,NA
NA,Radokovic Marathon,Convenience Store,1826 Lincoln Highway,NA,NA,NA,PA,15137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.367923,-79.780429,NA,NA
NA,Sunoco #7544,Convenience Store,1201 Airport Blvdulevard,NA,NA,NA,PA,15231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.494177,-80.267208,NA,NA
NA,Sunoco A Plus Mini Market #8154,Convenience Store,5204 Interbo Ave,NA,NA,NA,PA,15207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.370214,-79.913195,NA,NA
NA,Plow & Hearth,Convenience Store,1710 Settlers Ridge Center Dr,NA,NA,NA,PA,15205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.440641,-80.149132,NA,NA
NA,S & R Market,Convenience Store,4915 2nd Ave,NA,NA,NA,PA,15207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.529076,-80.025577,NA,NA
NA,EZ Energy #307 / 7 Eleven #36187H,Convenience Store,4630 Wm Flynn Highway,NA,NA,NA,PA,15101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.590622,-79.948086,NA,NA
NA,Mega Deli,Convenience Store,995 Greensburg Pike,NA,NA,NA,PA,15112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.416874,-79.839453,NA,NA
NA,Sheetz #500,Convenience Store,1910 Mt Nebo Rd,NA,NA,NA,PA,15143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.552928,-80.115508,NA,NA
NA,7 Eleven #35968H,Convenience Store,525 Perry Highway,NA,NA,NA,PA,15229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.396638,-77.026583,NA,NA
NA,7 Eleven #36143A,Convenience Store,601 Penn Av,NA,NA,NA,PA,15222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.442813,-80.001884,NA,NA
NA,A & E Deli Food Mart,Convenience Store,105 Brownsville Rd,NA,NA,NA,PA,15210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.41739,-79.986525,NA,NA
