id,name,type,address,street_one,street_two,city,state,zip_code,location_description,date_from,date_to,open_time1,close_time1,open_time2,close_time2,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,SNAP,WIC,FMNP,fresh_produce-healthy,MRFEI_score,latitude,longitude,open_to_spec_group,food_bucks
NA,Juba Grocery,Convenience Store,2721 Brownsville Rd,NA,NA,Pittsburgh,NA,15227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,Carl's Café,Convenience Store,337 5th Ave,NA,NA,Rankin,NA,15104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Farm Fresh Foods,Convenience Store,226 N. Negley Ave,NA,NA,Pittsburgh,NA,15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,L.A. Grocery,Convenience Store,511 Larimer Ave,NA,NA,Pittsburgh,NA,15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,Bailey Food Mart,Convenience Store,2316 Bailie Ave,NA,NA,McKeesport,NA,15132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,In & Out Corner Market,Convenience Store,300 Helen St.,NA,NA,McKees Rocks,NA,15136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Rocks Express,Convenience Store,700 Frederick Street,NA,NA,McKees Rocks,NA,15136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Deann's Groceria,Convenience Store,207 Brownsville Rd.,NA,NA,Mount Oliver,NA,15210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,"
Schwartz Market",Convenience Store,1901 5th Ave,NA,NA,Pittsburgh,NA,15219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,Produce Marketplace,Convenience Store,519 St Clair Ave,NA,NA,Clairton,NA,15025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Ann's Market,Convenience Store,2316 Webster Ave,NA,NA,Pittsburgh,NA,15219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
