id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,seat_count,noroom,sq_feet,status,placard_st,x,y,address
10,Joe Winzek Catering Service,600,8th St,Glassport,PA,15045,Glassport,100,Caterer,1,1/1/70,1/1/70,0,,3000,1,1,-79.88825275,40.32256482,600 8th St Glassport PA 15045
17,Bell's Market,603,Braddock Avenue,Braddock,PA,15104,Braddock,113,Retail/Convenience Store,1,6/17/84,6/17/84,0,,1200,7,3,-79.86813887,40.40334805,603 Braddock Avenue Braddock PA 15104
59,Shadyside Market,5414,Walnut St,Pittsburgh,PA,15232,Pittsburgh-107,113,Retail/Convenience Store,1,6/17/84,6/17/84,0,,3700,1,1,-79.93496494,40.45067997,5414 Walnut St Pittsburgh PA 15232
110,Hamms Market,1239,Itin Street,Pittsburgh,PA,15212,Pittsburgh-124,115,Packaged Food Only,2,6/17/84,6/17/84,0,,225,1,1,-79.99084832,40.46233782,1239 Itin Street Pittsburgh PA 15212
118,Tom Friday's Market,3639,California Ave,Pittsburgh,PA,15212,Pittsburgh-127,113,Retail/Convenience Store,1,6/17/84,6/17/84,0,,1600,1,1,-80.04162968,40.4812244,3639 California Ave Pittsburgh PA 15212
202,Mazzotta's Market,730,Broadway Ave,Mc Kees Rocks,PA,15136,Stowe,113,Retail/Convenience Store,1,6/17/84,6/17/84,0,,1000,7,1,-80.074305,40.47304215,730 Broadway Ave Mc Kees Rocks PA 15136
213,The Strip District Meats,2123,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,113,Retail/Convenience Store,1,1/1/70,1/1/70,0,,1000,1,1,-79.98269245,40.45228623,2123 Penn Avenue Pittsburgh PA 15222
237,Bakers Dairy,7300,Hamilton Ave,Pittsburgh,PA,15208,Pittsburgh-113,113,Retail/Convenience Store,0,1/1/80,1/1/80,0,,1000,1,1,-79.89564429,40.45401652,7300 Hamilton Ave Pittsburgh PA 15208
253,Leonard Labriola Foods,121,Hulton Road,Verona,PA,15147,Penn Hills,112,Chain Supermarket,1,4/1/69,4/1/69,0,,4000,1,1,-79.82011275,40.48454873,121 Hulton Road Verona PA 15147
259,Merante Bros,6,Marion St,Pittsburgh,PA,15219,Pittsburgh-101,113,Retail/Convenience Store,1,6/17/84,6/17/84,0,,500,7,1,-79.9842824,40.43818346,6 Marion St Pittsburgh PA 15219
262,Community Super Market,1117,Milltown Rd,Verona,PA,15147,Penn Hills,111,Supermarket,0,1/1/70,1/1/70,0,,40000,1,1,-79.79072034,40.49865132,1117 Milltown Rd Verona PA 15147
294,Podmilsak's Market,200,Herron Avenue,Cheswick,PA,15024,Harmar,113,Retail/Convenience Store,1,1/1/50,1/1/50,0,,1000,1,1,-79.81487823,40.54274265,200 Herron Avenue Cheswick PA 15024
352,Zoscak's Food Market,319,Ann St,Mc Keesport,PA,15132,McKeesport,111,Supermarket,1,1/1/57,1/1/57,0,,1311,7,1,-79.87480948,40.35063458,319 Ann St Mc Keesport PA 15132
365,Crossroads Service Center,4600,Homestead Duquesne Rd,West Mifflin,PA,15122,West Mifflin,114,Chain Retail/Convenience Store,1,1/1/70,1/1/70,0,,2000,7,1,-79.89439059,40.37635897,4600 Homestead Duquesne Rd West Mifflin PA 15122
389,Joes Butcher Shop,502,Broadway Avenue,Pitcairn,PA,15140,Pitcairn,113,Retail/Convenience Store,1,4/1/76,4/1/76,0,,2000,1,1,,,502 Broadway Avenue Pitcairn PA 15140
