id,name,type,address,street_one,street_two,city,state,zip_code,location_description,date_from,date_to,open_time1,close_time1,open_time2,close_time2,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,SNAP,WIC,FMNP,fresh_produce-healthy,MRFEI_score,latitude,longitude,zip
NA,CoGo's 1322,NA,510 Station Street NA,NA,NA,BRIDGEVILLE,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.357666,-80.110374,15017
NA,Market Fresh Meats,NA,5 Crafton Sq NA,NA,NA,Pittsburgh,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.435497,-80.065086,15205
NA,L E Corner Store,NA,601 Lincoln Ave NA,NA,NA,East Liberty,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.461674,-79.90786,15206
NA,Aldi 53,NA,5159 Library Rd NA,NA,NA,Bethel Park,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.33485,-80.024025,15102
NA,Isaly's 7020,NA,537 E Ohio St NA,NA,NA,Pittsburgh,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.453705,-79.999367,15212
NA,RITE AID 4682,NA,100 William Marks Way NA,NA,NA,Munhall,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.409134,-79.901901,15120
NA,RITE AID 0272,NA,209 Atwood St NA,NA,NA,Pittsburgh,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.440754,-79.957176,15213
NA,Rite Aid 1094,NA,3210 Banksville Rd NA,NA,NA,Pittsburgh,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.399281,-80.044708,15216
NA,RITE AID 4783,NA,5100 Library Rd NA,NA,NA,Bethel Park,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.338581,-80.026169,15102
NA,Rite Aid 4965,NA,201 Grace St NA,NA,NA,Pittsburgh,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.430813,-80.010735,15211
NA,RITE AID 0273,NA,2300 Jane St NA,NA,NA,Pittsburgh,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.426464,-79.973183,15203
NA,RITE AID 0268,NA,5504 Walnut St NA,NA,NA,Pittsburgh,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.45118,-79.933617,15232
NA,RITE AID 274,NA,1700 Murray Ave NA,NA,NA,Pittsburgh,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.438061,-79.92305,15217
NA,Rite Aid 1944,NA,900 Mt Royal Blvd NA,NA,NA,Pittsburgh,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.515926,-79.959068,15223
NA,RITE AID 1370,NA,725 Lysle Blvd NA,NA,NA,McKeesport,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.3522,-79.857765,15132
NA,Rite Aid 10949,NA,5410 Keeport Dr NA,NA,NA,Pittsburgh,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.338249,-79.979202,15236
NA,Ying Mart Inc T/A Uni-Mart,NA,1926 Brownsville Rd NA,NA,NA,Pittsburgh,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.395294,-79.986877,15210
NA,Uni-Mart,NA,1181 Romine Ave NA,NA,NA,McKeesport,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.342293,-79.87133,15133
NA,CVS Pharmacy 4103,NA,355 LINCOLN AVE NA,NA,NA,PITTSBURGH,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.493916,-80.052246,15202
NA,Walgreens 1034,NA,112 W Steuben St NA,NA,NA,Crafton,PA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.438969,-80.072548,15205
