id,name,type,address,street_one,street_two,city,state,zip_code,location_description,date_from,date_to,open_time1,close_time1,open_time2,close_time2,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,SNAP,WIC,FMNP,fresh_produce-healthy,MRFEI_score,latitude,longitude,open_to_spec_group,food_bucks
NA,HILLEL ACADEMY OF PITTSBURGH,Summer Food Site,5685 Beacon Street ,NA,NA,Pittsburgh,PA,15217,NA,2019/06/24 04:00:00,2019/08/02 04:00:00,8:30AM,9:30AM,11:30AM,1:00PM,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.92480444,40.43449936,1,NA
NA,HILLEL ACADEMY OF PITTSBURGH,Summer Food Site,5685 Beacon Street ,NA,NA,Pittsburgh,PA,15217,NA,2019/06/24 04:00:00,2019/08/02 04:00:00,8:30AM,9:30AM,11:30AM,1:00PM,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.92480444,40.43449936,1,NA
NA,HILLEL ACADEMY OF PITTSBURGH,Summer Food Site,5685 Beacon Street ,NA,NA,Pittsburgh,PA,15217,NA,2019/06/24 04:00:00,2019/08/02 04:00:00,8:30AM,9:30AM,11:30AM,1:00PM,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-79.92480444,40.43449936,1,NA
NA,HILLEL ACADEMY OF PITTSBURGH,Summer Food Site,5685 Beacon Street ,NA,NA,Pittsburgh,PA,15217,NA,2019/06/24 04:00:00,2019/08/02 04:00:00,8:30AM,9:30AM,11:30AM,1:00PM,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,-79.92480444,40.43449936,1,NA
NA,HILLEL ACADEMY OF PITTSBURGH,Summer Food Site,5685 Beacon Street ,NA,NA,Pittsburgh,PA,15217,NA,2019/06/24 04:00:00,2019/08/02 04:00:00,8:30AM,9:30AM,11:30AM,1:00PM,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-79.92480444,40.43449936,1,NA
NA,Castle Shannon Library,Summer Food Site,3677 MYRTLE AVENUE ,NA,NA,PGH,PA,15234,NA,2019/06/10 07:00:00,2019/08/16 07:00:00,12:45PM,1:30PM,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.02222747,40.36800491,1,NA
NA,Castle Shannon Library,Summer Food Site,3677 MYRTLE AVENUE ,NA,NA,PGH,PA,15234,NA,2019/06/10 07:00:00,2019/08/16 07:00:00,12:45PM,1:30PM,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.02222747,40.36800491,1,NA
NA,Castle Shannon Library,Summer Food Site,3677 MYRTLE AVENUE ,NA,NA,PGH,PA,15234,NA,2019/06/10 07:00:00,2019/08/16 07:00:00,12:45PM,1:30PM,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-80.02222747,40.36800491,1,NA
NA,Castle Shannon Library,Summer Food Site,3677 MYRTLE AVENUE ,NA,NA,PGH,PA,15234,NA,2019/06/10 07:00:00,2019/08/16 07:00:00,12:45PM,1:30PM,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,-80.02222747,40.36800491,1,NA
NA,Castle Shannon Library,Summer Food Site,3677 MYRTLE AVENUE ,NA,NA,PGH,PA,15234,NA,2019/06/10 07:00:00,2019/08/16 07:00:00,12:45PM,1:30PM,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-80.02222747,40.36800491,1,NA
NA,Alvern Gardens,Summer Food Site,1000 VERMONT AVE ,NA,NA,PITTSBURGH,PA,15234,NA,2019/06/10 07:00:00,2019/08/16 07:00:00,11:45AM,12:30PM,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.0344076,40.35964066,1,NA
NA,Alvern Gardens,Summer Food Site,1000 VERMONT AVE ,NA,NA,PITTSBURGH,PA,15234,NA,2019/06/10 07:00:00,2019/08/16 07:00:00,11:45AM,12:30PM,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.0344076,40.35964066,1,NA
NA,Alvern Gardens,Summer Food Site,1000 VERMONT AVE ,NA,NA,PITTSBURGH,PA,15234,NA,2019/06/10 07:00:00,2019/08/16 07:00:00,11:45AM,12:30PM,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-80.0344076,40.35964066,1,NA
NA,Alvern Gardens,Summer Food Site,1000 VERMONT AVE ,NA,NA,PITTSBURGH,PA,15234,NA,2019/06/10 07:00:00,2019/08/16 07:00:00,11:45AM,12:30PM,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,-80.0344076,40.35964066,1,NA
NA,Alvern Gardens,Summer Food Site,1000 VERMONT AVE ,NA,NA,PITTSBURGH,PA,15234,NA,2019/06/10 07:00:00,2019/08/16 07:00:00,11:45AM,12:30PM,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-80.0344076,40.35964066,1,NA
NA,Green Tree Wilson Park,Summer Food Site,10 WEST MANILLA DR ,NA,NA,PGH,PA,15220,NA,2019/06/10 07:00:00,2019/08/16 07:00:00,11:15AM,12:15PM,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.04681059,40.41826487,1,NA
NA,Green Tree Wilson Park,Summer Food Site,10 WEST MANILLA DR ,NA,NA,PGH,PA,15220,NA,2019/06/10 07:00:00,2019/08/16 07:00:00,11:15AM,12:15PM,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.04681059,40.41826487,1,NA
NA,Green Tree Wilson Park,Summer Food Site,10 WEST MANILLA DR ,NA,NA,PGH,PA,15220,NA,2019/06/10 07:00:00,2019/08/16 07:00:00,11:15AM,12:15PM,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-80.04681059,40.41826487,1,NA
NA,Green Tree Wilson Park,Summer Food Site,10 WEST MANILLA DR ,NA,NA,PGH,PA,15220,NA,2019/06/10 07:00:00,2019/08/16 07:00:00,11:15AM,12:15PM,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,-80.04681059,40.41826487,1,NA
NA,Green Tree Wilson Park,Summer Food Site,10 WEST MANILLA DR ,NA,NA,PGH,PA,15220,NA,2019/06/10 07:00:00,2019/08/16 07:00:00,11:15AM,12:15PM,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-80.04681059,40.41826487,1,NA
