id,name,type,address,street_one,street_two,city,state,zip_code,location_description,date_from,date_to,open_time1,close_time1,open_time2,close_time2,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,SNAP,WIC,FMNP,fresh_produce-healthy,MRFEI_score,latitude,longitude,open_to_spec_group,food_bucks
NA,Angora Gardens,sustainability-fund-site|other,3 Muse Lane,NA,NA,White Oak,Pennsylvania,15131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.404686,-79.862095,NA,NA
NA,Everybody's Garden,sustainability-fund-site|other,301 West Elizabeth Street,NA,NA,Pittsburgh,Pennsylvania,15207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.406546,-79.945442,NA,NA
NA,EvGard Extension,other,NA,NA,NA,Pittsburgh,Pennsylvania,15201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.406377,-79.945559,NA,NA
NA,Glen Hazel Communiuty Garden,other,Johnston Avenue at Roselle Drive,NA,NA,Pittsburgh,Pennsylvania,15207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.40604,-79.931253,NA,NA
NA,Grow Pittsburgh,grow-pittsburgh-site,6587 Hamilton Avenue #2W,NA,NA,Pittsburgh,Pennsylvania,15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.458481,-79.911381,NA,NA
NA,Lawrenceville Organic Community Garden,other,"Allegheny Cemetery, 4734 Butler Street",NA,NA,Pittsburgh,Pennsylvania,15201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.477158,-79.956114,NA,NA
NA,Masjid al Mu'min Madinah Garden,sustainability-fund-site|other,159 Winslow Street,NA,NA,Pittsburgh,Pennsylvania,15206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.46445,-79.911651,NA,NA
NA,South Oakland Community Orchard,other,3213 Parkview Avenue,NA,NA,Pittsburgh,Pennsylvania,15213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.429834,-79.953578,NA,NA
NA,Thelma Lovette YMCA Garden,other,2114 Centre Avenue,NA,NA,Pittsburgh,Pennsylvania,15219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.444369,-79.978126,NA,NA
NA,Wiggins Garden,other,Near 3026 Wiggins Street,NA,NA,Pittsburgh,Pennsylvania,15219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.457618,-79.969499,NA,NA
