state,fips,mrfei
AL,01001020100,17
AL,01001020200,17
AL,01001020300,18
AL,01001020400,13
AL,01001020500,6
AL,01001020600,20
AL,01001020700,19
AL,01001020800,0
AL,01001020900,0
AL,01001021000,50
AL,01001021100,0
AL,01003010100,0
AL,01003010200,0
AL,01003010300,13
AL,01003010400,0
AL,01003010500,16
AL,01003010600,7
AL,01003010701,13
AL,01003010703,13
AL,01003010704,0
AL,01003010705,11
AL,01003010800,21
AL,01003010901,41
AL,01003010902,18
AL,01003011000,0
AL,01003011100,17
AL,01003011201,27
AL,01003011202,20
AL,01003011300,0
AL,01003011401,17
AL,01003011403,0
AL,01003011404,16
AL,01003011500,10
AL,01003011600,14
AL,01005950100,25
AL,01005950200,0
AL,01005950300,0
AL,01005950400,0
AL,01005950500,0
AL,01005950600,26
AL,01005950700,29
AL,01005950800,67
AL,01005950900,25
AL,01007010000,29
AL,01007010100,23
AL,01007010200,0
AL,01009050101,10
AL,01009050102,9
AL,01009050200,14
AL,01009050300,17
AL,01009050400,50
AL,01009050500,33
AL,01009050600,25
AL,01009050700,13
AL,01011952100,0
AL,01011952200,17
AL,01011952300,0
AL,01011952400,0
AL,01013952700,7
AL,01013952800,13
AL,01013952900,9
AL,01013953000,0
AL,01013953100,7
AL,01013953200,18
AL,01013953300,0
AL,01013953400,25
AL,01013953500,0
AL,01015000100,12
AL,01015000200,10
AL,01015000300,8
AL,01015000400,6
AL,01015000500,14
AL,01015000600,10
AL,01015000800,6
AL,01015000900,8
AL,01015001000,7
AL,01015001100,3
AL,01015001200,10
AL,01015001300,9
AL,01015001400,0
AL,01015001500,11
AL,01015001600,8
AL,01015001700,12
AL,01015001800,0
AL,01015001900,15
AL,01015002000,0
AL,01015002101,20
AL,01015002102,21
AL,01015002103,18
AL,01015002200,13
AL,01015002300,12
AL,01015002400,0
AL,01015002501,29
AL,01015002502,0
AL,01015002600,0
AL,01017953800,0
AL,01017953900,0
AL,01017954000,15
AL,01017954200,0
AL,01017954300,29
AL,01017954400,8
AL,01017954500,11
AL,01017954600,9
AL,01017954700,20
AL,01019955700,9
AL,01019955800,0
AL,01019955900,13
AL,01019956000,16
AL,01019956100,0
AL,01021060101,19
AL,01021060102,21
AL,01021060200,25
AL,01021060300,33
AL,01021060401,23
AL,01021060402,9
AL,01021060500,0
AL,01021060600,33
AL,01021060700,18
AL,01023956700,0
AL,01023956800,13
AL,01023956900,13
AL,01023957000,0
AL,01025957500,0
AL,01025957600,23
AL,01025957700,0
AL,01025957800,0
AL,01025957901,11
AL,01025957902,13
AL,01025958000,0
AL,01027958900,33
AL,01027959000,0
AL,01027959100,33
AL,01027959200,0
AL,01029959500,33
AL,01029959600,20
AL,01029959700,0
AL,01029959800,13
AL,01031010100,0
AL,01031010200,0
AL,01031010300,0
AL,01031010400,20
AL,01031010500,17
AL,01031010600,0
AL,01031010700,0
AL,01031010800,33
AL,01031010900,33
AL,01031011000,25
AL,01031011100,23
AL,01031011201,33
AL,01031011202,11
AL,01031011300,14
AL,01033020100,17
AL,01033020200,20
AL,01033020300,18
AL,01033020400,0
AL,01033020500,17
AL,01033020600,29
AL,01033020701,20
AL,01033020702,11
AL,01033020801,50
AL,01033020802,0
AL,01033020900,0
AL,01033021000,20
AL,01035960200,0
AL,01035960300,0
AL,01035960400,
AL,01035960500,13
AL,01035960600,12
AL,01037961000,33
AL,01037961100,0
AL,01037961200,0
AL,01039961600,0
AL,01039961700,0
AL,01039961800,11
AL,01039961900,18
AL,01039962000,20
AL,01039962100,7
AL,01039962300,0
AL,01039962400,7
AL,01039962500,14
AL,01039962600,17
AL,01039962700,11
AL,01039962800,0
AL,01039962900,
AL,01039963000,10
AL,01041963400,0
AL,01041963500,0
AL,01041963600,12
AL,01041963700,14
AL,01041963800,14
AL,01041963900,50
AL,01043964100,33
AL,01043964200,13
AL,01043964300,0
AL,01043964400,0
AL,01043964500,50
AL,01043964600,0
AL,01043964700,9
AL,01043964800,19
AL,01043964900,16
AL,01043965000,9
AL,01043965100,0
AL,01043965200,0
AL,01043965300,100
AL,01043965400,13
AL,01043965500,10
AL,01043965600,0
AL,01043965700,0
AL,01045020100,0
AL,01045020200,0
AL,01045020300,0
AL,01045020400,0
AL,01045020500,7
AL,01045020700,10
AL,01045020800,14
AL,01045020900,0
AL,01045021000,0
AL,01045021101,0
AL,01045021102,13
AL,01045021200,0
AL,01045021300,13
AL,01045021400,0
AL,01047996100,23
AL,01047996200,0
AL,01047996300,0
AL,01047996400,16
AL,01047996500,17
AL,01047996600,15
AL,01047996700,22
AL,01047996800,8
AL,01047996900,0
AL,01047997000,0
AL,01047997100,0
AL,01047997200,15
AL,01047997300,25
AL,01049960100,13
AL,01049960200,50
AL,01049960300,14
AL,01049960400,11
AL,01049960500,14
AL,01049960600,17
AL,01049960700,11
AL,01049960800,17
AL,01049960900,11
AL,01049961000,0
AL,01049961100,17
AL,01049961200,20
AL,01049961300,18
AL,01049961400,0
AL,01051030100,20
AL,01051030200,0
AL,01051030300,0
AL,01051030400,22
AL,01051030500,20
AL,01051030600,0
AL,01051030700,12
AL,01051030800,0
AL,01051030900,22
AL,01051031000,15
AL,01051031100,17
AL,01051031200,0
AL,01051031300,5
AL,01053969800,8
AL,01053969900,10
AL,01053970100,10
AL,01053970200,9
AL,01053970300,10
AL,01053970400,0
AL,01053970500,9
AL,01053970600,14
AL,01053970700,21
AL,01055000200,13
AL,01055000300,11
AL,01055000400,7
AL,01055000500,11
AL,01055000600,8
AL,01055000700,17
AL,01055000800,7
AL,01055000900,18
AL,01055001000,13
AL,01055001100,10
AL,01055001200,8
AL,01055001300,7
AL,01055001400,11
AL,01055001500,9
AL,01055001600,5
AL,01055001700,8
AL,01055010100,14
AL,01055010200,13
AL,01055010300,0
AL,01055010400,13
AL,01055010501,18
AL,01055010502,0
AL,01055010600,23
AL,01055010700,0
AL,01055010800,0
AL,01055010900,0
AL,01055011000,0
AL,01055011100,0
AL,01057020000,0
AL,01057020100,0
AL,01057020200,9
AL,01057020300,8
AL,01057020400,11
AL,01059972900,22
AL,01059973000,23
AL,01059973100,0
AL,01059973200,14
AL,01059973300,0
AL,01059973400,40
AL,01059973500,17
AL,01059973600,0
AL,01059973700,20
AL,01061050100,33
AL,01061050200,0
AL,01061050300,17
AL,01061050400,33
AL,01061050500,25
AL,01061050600,0
AL,01063060000,0
AL,01063060100,12
AL,01063060200,0
AL,01065040000,0
AL,01065040100,0
AL,01065040200,0
AL,01065040300,0
AL,01065040400,22
AL,01065040500,0
AL,01067030100,0
AL,01067030200,11
AL,01067030300,14
AL,01067030400,100
AL,01067030500,29
AL,01067030600,0
AL,01069040100,25
AL,01069040201,9
AL,01069040202,13
AL,01069040300,15
AL,01069040400,15
AL,01069040500,16
AL,01069040600,17
AL,01069040700,20
AL,01069040800,16
AL,01069040900,7
AL,01069041000,10
AL,01069041100,17
AL,01069041200,14
AL,01069041400,8
AL,01069041500,16
AL,01069041600,0
AL,01069041700,25
AL,01069041800,0
AL,01069041900,20
AL,01069042000,20
AL,01069042100,10
AL,01071950100,17
AL,01071950200,17
AL,01071950300,13
AL,01071950400,0
AL,01071950500,0
AL,01071950600,6
AL,01071950700,13
AL,01071950800,17
AL,01071950900,22
AL,01071951000,29
AL,01071951100,11
AL,01073000100,8
AL,01073000300,9
AL,01073000400,0
AL,01073000500,0
AL,01073000700,11
AL,01073000800,21
AL,01073001100,0
AL,01073001200,22
AL,01073001400,24
AL,01073001500,0
AL,01073001600,0
AL,01073001902,9
AL,01073002000,10
AL,01073002100,13
AL,01073002200,20
AL,01073002303,8
AL,01073002305,0
AL,01073002306,17
AL,01073002400,8
AL,01073002700,0
AL,01073002900,0
AL,01073003001,0
AL,01073003002,0
AL,01073003100,10
AL,01073003200,8
AL,01073003300,8
AL,01073003400,7
AL,01073003500,9
AL,01073003600,10
AL,01073003700,7
AL,01073003802,8
AL,01073003803,12
AL,01073003900,6
AL,01073004000,8
AL,01073004200,3
AL,01073004500,2
AL,01073004701,17
AL,01073004702,25
AL,01073004800,6
AL,01073004900,6
AL,01073005000,6
AL,01073005101,10
AL,01073005102,8
AL,01073005200,5
AL,01073005302,7
AL,01073005500,9
AL,01073005600,11
AL,01073005701,0
AL,01073005702,7
AL,01073005800,10
AL,01073005903,3
AL,01073005905,4
AL,01073005906,0
AL,01073005907,0
AL,01073005908,6
AL,01073010001,21
AL,01073010002,75
AL,01073010100,15
AL,01073010200,10
AL,01073010301,8
AL,01073010302,19
AL,01073010401,5
AL,01073010402,7
AL,01073010500,0
AL,01073010602,9
AL,01073010603,11
AL,01073010701,14
AL,01073010702,13
AL,01073010703,12
AL,01073010704,14
AL,01073010705,12
AL,01073010706,9
AL,01073010801,13
AL,01073010802,13
AL,01073010803,11
AL,01073010804,18
AL,01073010805,14
AL,01073010900,6
AL,01073011000,7
AL,01073011103,11
AL,01073011104,13
AL,01073011106,11
AL,01073011107,9
AL,01073011205,20
AL,01073011206,13
AL,01073011207,14
AL,01073011208,40
AL,01073011209,0
AL,01073011210,22
AL,01073011300,11
AL,01073011400,20
AL,01073011500,0
AL,01073011600,0
AL,01073011703,14
AL,01073011704,10
AL,01073011705,13
AL,01073011706,14
AL,01073011802,16
AL,01073011803,10
AL,01073011804,8
AL,01073011901,5
AL,01073011902,8
AL,01073011903,0
AL,01073012001,8
AL,01073012002,6
AL,01073012103,11
AL,01073012104,6
AL,01073012200,0
AL,01073012302,0
AL,01073012303,33
AL,01073012401,6
AL,01073012402,12
AL,01073012403,13
AL,01073012500,0
AL,01073012602,3
AL,01073012701,5
AL,01073012702,11
AL,01073012801,20
AL,01073012901,12
AL,01073012903,25
AL,01073012905,17
AL,01073012906,21
AL,01073012907,0
AL,01073012908,9
AL,01073012909,8
AL,01073013002,0
AL,01073013100,0
AL,01073013200,13
AL,01073013300,10
AL,01073013400,11
AL,01073013601,9
AL,01073013801,19
AL,01073013901,0
AL,01073013902,17
AL,01073014000,13
AL,01073014102,0
AL,01073014104,6
AL,01073014105,4
AL,01073014203,0
AL,01073014204,8
AL,01073014301,0
AL,01073014302,5
AL,01073014403,10
AL,01073014404,13
AL,01073014405,20
AL,01073014406,14
AL,01073014407,7
AL,01075030000,13
AL,01075030100,6
AL,01075030200,33
AL,01077010100,8
AL,01077010200,17
AL,01077010300,17
AL,01077010400,8
AL,01077010600,10
AL,01077010700,21
AL,01077010800,20
AL,01077010900,16
AL,01077011000,16
AL,01077011100,14
AL,01077011200,20
AL,01077011300,0
AL,01077011400,0
AL,01077011501,9
AL,01077011502,50
AL,01077011601,23
AL,01077011602,14
AL,01077011700,29
AL,01077011800,10
AL,01079979100,0
AL,01079979200,14
AL,01079979300,0
AL,01079979400,20
AL,01079979500,0
AL,01079979600,18
AL,01079979700,0
AL,01079979800,0
AL,01079979900,0
AL,01081040200,7
AL,01081040300,4
AL,01081040400,8
AL,01081040500,9
AL,01081040601,11
AL,01081040602,17
AL,01081040700,8
AL,01081040800,5
AL,01081040900,5
AL,01081041000,0
AL,01081041100,9
AL,01081041200,0
AL,01081041300,13
AL,01081041400,17
AL,01081041600,10
AL,01081041700,7
AL,01081041800,10
AL,01081041900,0
AL,01081042001,16
AL,01081042002,14
AL,01081042100,10
AL,01083020100,17
AL,01083020200,9
AL,01083020300,0
AL,01083020401,0
AL,01083020402,0
AL,01083020500,18
AL,01083020600,17
AL,01083020700,18
AL,01083020801,0
AL,01083020802,0
AL,01083020900,16
AL,01083021000,21
AL,01083021100,0
AL,01083021200,17
AL,01085980800,0
AL,01085981000,0
AL,01085981100,25
AL,01085981200,33
AL,01087981400,0
AL,01087981500,13
AL,01087981600,11
AL,01087981700,25
AL,01087981800,22
AL,01087981900,10
AL,01087982000,18
AL,01087982100,0
AL,01087982200,0
AL,01087982300,0
AL,01089000100,11
AL,01089000201,0
AL,01089000202,5
AL,01089000301,0
AL,01089000302,22
AL,01089000401,33
AL,01089000402,0
AL,01089000501,57
AL,01089000502,57
AL,01089000503,43
AL,01089000601,0
AL,01089000602,0
AL,01089000701,14
AL,01089000702,12
AL,01089000800,11
AL,01089000901,0
AL,01089000902,0
AL,01089001000,13
AL,01089001100,14
AL,01089001200,7
AL,01089001300,6
AL,01089001400,8
AL,01089001500,3
AL,01089001600,0
AL,01089001700,7
AL,01089001801,0
AL,01089001901,0
AL,01089001902,0
AL,01089001903,0
AL,01089002000,4
AL,01089002100,6
AL,01089002200,12
AL,01089002300,4
AL,01089002400,0
AL,01089002501,3
AL,01089002502,8
AL,01089002600,8
AL,01089002701,6
AL,01089002721,6
AL,01089002722,9
AL,01089002801,9
AL,01089002802,17
AL,01089002911,15
AL,01089002912,40
AL,01089002921,17
AL,01089002922,10
AL,01089010100,11
AL,01089010200,0
AL,01089010301,8
AL,01089010302,0
AL,01089010401,0
AL,01089010402,0
AL,01089010501,10
AL,01089010502,25
AL,01089010611,0
AL,01089010612,8
AL,01089010621,0
AL,01089010622,11
AL,01089010701,30
AL,01089010702,16
AL,01089010800,13
AL,01089010901,17
AL,01089010902,20
AL,01089011011,15
AL,01089011012,7
AL,01089011013,11
AL,01089011014,20
AL,01089011021,5
AL,01089011022,13
AL,01089011100,14
AL,01089011200,10
AL,01089011300,9
AL,01089011400,11
AL,01091982900,25
AL,01091983000,11
AL,01091983100,17
AL,01091983200,0
AL,01091983300,0
AL,01091983400,25
AL,01093984000,0
AL,01093984100,25
AL,01093984200,0
AL,01093984300,20
AL,01093984400,22
AL,01093984500,0
AL,01093984600,14
AL,01093984700,14
AL,01095030100,0
AL,01095030201,17
AL,01095030202,13
AL,01095030300,0
AL,01095030400,17
AL,01095030500,10
AL,01095030600,8
AL,01095030700,6
AL,01095030801,13
AL,01095030802,18
AL,01095030901,6
AL,01095030902,18
AL,01095031000,20
AL,01095031100,33
AL,01095031200,23
AL,01097000200,0
AL,01097000401,0
AL,01097000402,0
AL,01097000500,0
AL,01097000600,13
AL,01097000701,11
AL,01097000702,8
AL,01097000800,8
AL,01097000901,6
AL,01097000902,4
AL,01097000903,7
AL,01097001001,0
AL,01097001002,14
AL,01097001100,13
AL,01097001200,15
AL,01097001302,12
AL,01097001400,7
AL,01097001501,0
AL,01097001502,8
AL,01097001600,20
AL,01097001700,22
AL,01097001800,0
AL,01097001901,0
AL,01097001902,0
AL,01097002000,14
