id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
,FMNP Markets,https://services5.arcgis.com/n3KaqXoFYDuIhfyz/ArcGIS/rest/services/FMNPMarkets/FeatureServer,21,farmer's market,Beccari's Farm Market,5095 Thomas Run Road,Oakdale,PA,15071,Allegheny,July - October Tuesday - Sunday 12:00 PM - 5:30 PM ,4122218768,,40.3753878,-80.1353771,FMNP Markets,July 1,October 31,,,1,1,,0,0,SNAP missing;WIC missing;food_bucks missing;
,FMNP Markets,https://services5.arcgis.com/n3KaqXoFYDuIhfyz/ArcGIS/rest/services/FMNPMarkets/FeatureServer,51,farmer's market,Carrick Citiparks Farmers Market,1529 Brownsville Road,Pittsburgh,PA,15210,Allegheny,,4124226547,,40.3913414,-79.986603,FMNP Markets,,,,,1,1,,0,0,location_description missing;SNAP missing;WIC missing;food_bucks missing;
,FMNP Markets,https://services5.arcgis.com/n3KaqXoFYDuIhfyz/ArcGIS/rest/services/FMNPMarkets/FeatureServer,90,farmer's market,East Liberty Farmers Market,N Euclid Ave & Broad St,Pittsburgh,PA,15026,Allegheny,June - November Monday 3:30 PM - 7:30 PM ,,,40.4707688,-79.9228625,FMNP Markets,June 1,November 30,,,1,1,,0,0,SNAP missing;WIC missing;food_bucks missing;
,FMNP Markets,https://services5.arcgis.com/n3KaqXoFYDuIhfyz/ArcGIS/rest/services/FMNPMarkets/FeatureServer,92,farmer's market,Eichner's Farm Market & Greenhouses,285 Richard Road,Wexford,PA,15090,Allegheny,"June - November Monday - Friday 9:00 AM - 6:00 PM 
June - November Saturday 9:00 AM - 5:00 PM 
June - October Sunday 9:00 AM - 5:00 PM ",7249352131,,40.608589,-80.061099,FMNP Markets,June 1,November 30,,,1,1,,0,0,SNAP missing;WIC missing;food_bucks missing;
,FMNP Markets,https://services5.arcgis.com/n3KaqXoFYDuIhfyz/ArcGIS/rest/services/FMNPMarkets/FeatureServer,207,farmer's market,Monroeville FM,2399 Tillbrook Rd,Monroeville,PA,15146,Allegheny,June - November Saturday 9:00 AM - 12:00 PM ,7245388621,,40.4183624,-79.763612,FMNP Markets,June 1,November 30,,,1,1,,0,0,SNAP missing;WIC missing;food_bucks missing;
,FMNP Markets,https://services5.arcgis.com/n3KaqXoFYDuIhfyz/ArcGIS/rest/services/FMNPMarkets/FeatureServer,227,farmer's market,Pgh Original Night Farmers Market,151 Park Road,McDonald,PA,15057,Allegheny,"June - November Monday, Wednesday, Friday 5:30 PM - 7:30 PM ",,,40.3712883,-80.2263223,FMNP Markets,June 1,November 30,,,1,1,,0,0,SNAP missing;WIC missing;food_bucks missing;
,FMNP Markets,https://services5.arcgis.com/n3KaqXoFYDuIhfyz/ArcGIS/rest/services/FMNPMarkets/FeatureServer,3753,farmer's market,Hampton Farmers Market,3101 McCully Rd,Allison Park,PA,15101,Allegheny,June - October Wednesday 3:00 PM - 7:00 PM ,,,40.582594,-79.934791,FMNP Markets,June 1,October 31,,,1,1,,0,0,SNAP missing;WIC missing;food_bucks missing;
,FMNP Markets,https://services5.arcgis.com/n3KaqXoFYDuIhfyz/ArcGIS/rest/services/FMNPMarkets/FeatureServer,3782,farmer's market,Green Grocer /Northview Heights,533 Mt Pleasant Rd,Pittsburgh,PA,15214,Allegheny,June - November Thursday 3:30 PM - 4:30 PM 2nd and 4th Thursday only ,,,40.47767,-79.999793,FMNP Markets,June 1,November 30,1.0,0.0,1,1,1.0,0,0,
,FMNP Markets,https://services5.arcgis.com/n3KaqXoFYDuIhfyz/ArcGIS/rest/services/FMNPMarkets/FeatureServer,3783,farmer's market,Green Grocer / Duquesne,35 Grant Avenue,Duquesne,PA,15110,Allegheny,June - November Friday 11:00 AM - 12:00 PM 1st and 3rd Friday only ,,,40.373303,-79.845428,FMNP Markets,June 1,November 30,1.0,0.0,1,1,1.0,0,0,
,FMNP Markets,https://services5.arcgis.com/n3KaqXoFYDuIhfyz/ArcGIS/rest/services/FMNPMarkets/FeatureServer,3684,farmer's market,Green Grocer/Old Shop n' Save Building,1850 Centre Ave,Pittsburgh,PA,15219,Allegheny,June - November Tuesday 3:30 PM - 4:30 PM 2nd and 4th Tuesday only ,,,40.4427415,-79.9819169,FMNP Markets,June 1,November 30,1.0,0.0,1,1,1.0,0,0,
