id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
NA,USDA,PA.xlsx,NA,NA,CoGo's 1322,510 Station Street,BRIDGEVILLE,PA,15017,ALLEGHENY,NA,NA,NA,40.357666,-80.110374,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Market Fresh Meats,5 Crafton Sq,Pittsburgh,PA,15205,ALLEGHENY,NA,NA,NA,40.435497,-80.065086,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,L E Corner Store,601 Lincoln Ave,East Liberty,PA,15206,ALLEGHENY,NA,NA,NA,40.461674,-79.90786,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Aldi 53,5159 Library Rd,Bethel Park,PA,15102,ALLEGHENY,NA,NA,NA,40.33485,-80.024025,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Isaly's 7020,537 E Ohio St,Pittsburgh,PA,15212,ALLEGHENY,NA,NA,NA,40.453705,-79.999367,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,RITE AID 4682,100 William Marks Way,Munhall,PA,15120,ALLEGHENY,NA,NA,NA,40.409134,-79.901901,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,RITE AID 0272,209 Atwood St,Pittsburgh,PA,15213,ALLEGHENY,NA,NA,NA,40.440754,-79.957176,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Rite Aid 1094,3210 Banksville Rd,Pittsburgh,PA,15216,ALLEGHENY,NA,NA,NA,40.399281,-80.044708,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,RITE AID 4783,5100 Library Rd,Bethel Park,PA,15102,ALLEGHENY,NA,NA,NA,40.338581,-80.026169,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Rite Aid 4965,201 Grace St,Pittsburgh,PA,15211,ALLEGHENY,NA,NA,NA,40.430813,-80.010735,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,RITE AID 0273,2300 Jane St,Pittsburgh,PA,15203,ALLEGHENY,NA,NA,NA,40.426464,-79.973183,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,RITE AID 0268,5504 Walnut St,Pittsburgh,PA,15232,ALLEGHENY,NA,NA,NA,40.45118,-79.933617,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,RITE AID 274,1700 Murray Ave,Pittsburgh,PA,15217,ALLEGHENY,NA,NA,NA,40.438061,-79.92305,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,Rite Aid 1944,900 Mt Royal Blvd,Pittsburgh,PA,15223,ALLEGHENY,NA,NA,NA,40.515926,-79.959068,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
NA,USDA,PA.xlsx,NA,NA,RITE AID 1370,725 Lysle Blvd,McKeesport,PA,15132,ALLEGHENY,NA,NA,NA,40.3522,-79.857765,agency,NA,NA,1,0,0,0,0,0,NA,no type;no phone;no date/time info
