id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,open_to_spec_group,data_issues,food_bucks,SNAP,WIC,FMNP,fresh_produce,free_distribution
NA,PA WIC,wicresults.json,Bethel Park Shop N Save,NA,Bethel Park Shop N Save,5001 LIBRARY RD ,BETHEL PARK,PA,15102,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Century Square Shop N Save,NA,Century Square Shop N Save,2381 MOUNTAIN VIEW DR ,WEST MIFFLIN,PA,15122,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Community Market #96 Bloomfield,NA,Community Market #96 Bloomfield,4401 LIBERTY AVE ,PITTSBURGH,PA,15224,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Community Mrkt Natrona Heights,NA,Community Mrkt Natrona Heights,1710 PACIFIC AVE ,NATRONA HEIGHTS,PA,15065,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Community Supermarket Verona,NA,Community Supermarket Verona,1117 MILLTOWN RD ,VERONA,PA,15147,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Giant Eagle #14 Village Square,NA,Giant Eagle #14 Village Square,7000 OXFORD DR ,BETHEL PARK,PA,15102,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Giant Eagle #15,NA,Giant Eagle #15,1701 Lincoln Hwy ,North Versailles,PA,15137,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Giant Eagle #1691,NA,Giant Eagle #1691,400 NORTHTOWNE SQ ,GIBSONIA,PA,15044,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Giant Eagle #24 South Fayette,NA,Giant Eagle #24 South Fayette,3239 WASHINGTON PIKE ,BRIDGEVILLE,PA,15017,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Giant Eagle #29  West Mifflin,NA,Giant Eagle #29  West Mifflin,1356 Hoffman Blvd ,West Mifflin,PA,15122,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Giant Eagle #43,NA,Giant Eagle #43,155 TOWNE CENTRE DR ,WEXFORD,PA,15090,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
NA,PA WIC,wicresults.json,Giant Eagle #641,NA,Giant Eagle #641,Char. Valley Shopping Center 1025 Washington Pike,Bridgeville,PA,15017,NA,NA,NA,NA,NA,NA,na,NA,NA,0,no type;no phone;no date/time info,NA,NA,1,NA,NA,0
