id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Ambridge Farmer's Market,624 Park Road,Ambridge,PA,15003,Allegheny,"St. Mary's Church parking lot, near Do It Best",NA,NA,40.586729,-80.229576,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Aspinwall Flea Market,217 Commerical Avenue,Aspinwall,PA,15215,Allegheny,Municipal parking lot,NA,NA,40.490575,-79.904305,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Bachman's Greenhouse and Nursery,2905 Freeport Road,Natrona Heights,PA,15065,Allegheny,NA,NA,NA,40.640015,-79.711384,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Bachman's Greenhouse and Nursery,Route 908 & Ekastown Road,Natrona Heights,PA,15065,Allegheny,NA,NA,NA,40.667206,-79.730284,agency,July,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Beccari's Farm Market,5095 Thoms Run Road,Oakdale,PA,15071,Allegheny,NA,NA,NA,40.373965,-80.133129,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Bedner's Farm,1520 Bower Hill Road,Pittsburgh,PA,15220,Allegheny,NA,NA,NA,40.361146,-80.089128,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Beechview Fresh Access,Broadway Avenue & Hampshire Avenue,Pittsburgh,PA,15216,Allegheny,NA,NA,NA,40.410567,-80.024673,agency,June 20,September 12,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Bellevue Farmer's Market,34 N. Balph Avenue,Pittsburgh,PA,15202,Allegheny,Bayne Park,NA,NA,40.496526,-80.054299,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Bethel Park Farmer's Market,Corrigan Drive,Bethel Park,PA,15102,Allegheny,South Park VIP parking lot,NA,NA,40.319687,-80.008541,agency,June,September,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Blackberry Meadows Farm,7115 Ridge Road,Natrona Heights,PA,15065,Allegheny,NA,NA,NA,40.657587,-79.747334,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
