id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3150892,NA,Community Market,1710 Pacific Avenue,Natrona Heights,PA,15065,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3148048,NA,Community Market,1117 Mill Town Road,Verona,PA,15147,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3083227,NA,Coraopolis Cash Market,1017 4th Avenue,Coraopolis,PA,15108,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2693039,NA,Giant Eagle,5055 Library Road,Bethel Park,PA,15102,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2805222,NA,Giant Eagle,254 Yost Boulevard,Braddock Hills,PA,15221,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3161264,NA,Giant Eagle,600 Towne Square Way,Brentwood,PA,15227,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2654758,NA,Giant Eagle,132 Ben Avon Heights Road,Camp Horne,PA,15237,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2665562,NA,Giant Eagle,5260 Grove Road,Caste Village,PA,15236,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3029807,NA,Giant Eagle,9901 Mountain View Drive,Century III,PA,15122,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2827562,NA,Giant Eagle,6320 Shakespeare Street,East Liberty,PA,15206,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,80632,NA,Giant Eagle,1705 S. Braddock Avenue,Edgewood,PA,15218,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3168164,NA,Giant Eagle,800 Mckeesport Road,Elizabeth,PA,15037,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2845101,NA,Giant Eagle,910 Freeport Road,Fox Chapel,PA,15238,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3099409,NA,Giant Eagle,9001 Frankstown Road,Frankstown,PA,15235,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3138681,NA,Giant Eagle,4250 Murray Avenue,Greenfield,PA,15217,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2835432,NA,Giant Eagle,420 East Waterfront Drive,Homestead,PA,15120,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2701552,NA,Giant Eagle,1800 Mckees Rocks Road,Kennedy Twp.,PA,15136,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3168084,NA,Giant Eagle,3812 O'Neil Boulevard,Mckeesport,PA,15132,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3119721,NA,Giant Eagle,4680 Old William Penn Hwy.,Monroeville,PA,15146,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2952691,NA,Giant Eagle,4010 Monroeville Boulevard,Monroeville Blvd.,PA,15146,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3168226,NA,Giant Eagle,5990 University Boulevard,Moon Twp.,PA,15108,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,16296,NA,Giant Eagle,8050 McKnight Road,North Hills,PA,15237,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,38534,NA,Giant Eagle,318-320 Cedar Avenue,North Shore,PA,15212,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3174633,NA,Giant Eagle,1701 Lincoln Highway,North Versailles,PA,15137,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2752932,NA,Giant Eagle,4110 Brighton Road,Northside,PA,15212,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2663456,NA,Giant Eagle,230 Rodi Road,Penn Hills,PA,15235,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2770095,NA,Giant Eagle,9805 McKnight Road,Pine Creek,PA,15237,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3158672,NA,Giant Eagle,155 Towne Centre Drive,Pine Township,PA,15090,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3152683,NA,Giant Eagle,100 Settlers Ridge Center Dr.,Robinson Twp.,PA,15205,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2760795,NA,Giant Eagle,5550 Centre Avenue,Shadyside,PA,15232,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3155863,NA,Giant Eagle,1671 Butler Plank Road,Shaler,PA,15116,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3168245,NA,Giant Eagle,3239 Washington Pike,South Fayette,PA,15017,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2929702,NA,Giant Eagle,2021 Wharton Street,South Side,PA,15203,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2977355,NA,Giant Eagle,1901 Murray Avenue,Squirrel Hill,PA,15217,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2869549,NA,Giant Eagle,200 Allegheny River Boulevard,Verona,PA,15147,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2914092,NA,Giant Eagle,7000 Oxford Drive,Village Square,PA,15102,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2712572,NA,Giant Eagle,1717 Cochran Road,Virginia Manor,PA,15220,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3141762,NA,Giant Eagle,1356 Hoffman Boulevard,West Mifflin,PA,15122,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,85222,NA,Giant Eagle,1029 West View Park Drive,West View,PA,15229,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2976969,NA,Giant Eagle,2001 Lincoln Way,White Oak,PA,15131,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3162107,NA,Giant Eagle Express,2611 Freeport Road,Harmar,PA,15238,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,3162338,NA,Gorkhali Store,2116 Brownsville Rd.,Mt. Oliver,PA,15210,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
NA,WPRDC,Allegheny_County_WIC_Vendor_Locations.xlsx,2796169,NA,Himalaya Grocery,3621 Brownsville Road,Brentwood,PA,15227,NA,NA,NA,NA,NA,NA,Google,NA,NA,0,1,1,0,0,0,NA,lat/long invalid;no date/time info;state assumed PA;missing type
