id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
,Allegheny County,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer,195185,summer meal site,North Hills United Presbyterian Church,100 Bellevue Avenue,Pittsburgh,PA,15229,Allegheny," Service Type: Grab and Go; Site Hours: Mondays this site provides 3 breakfasts and lunches, for every child from 11:30 AM to 1:00 PM. Thursdays this site provides 2 breakfasts and lunches, for every child from 11:30 AM to 1:00 PM.; Comments: Please contact the site to confirm the information; ",,,40.5216341,-80.03167532,Allegheny County,June 01 2021,August 21 2021,0,0,0,,0,1,children and teens 18 and younger,
,Allegheny County,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer,0,summer meal site,This Generation Connect,1410 Grandview Ave,Braddock,PA,15104,Allegheny, Service Type: Grab and Go; Site Hours: Contact site for more information; ,,,40.404869,-79.842774,Allegheny County,June 07 2021,August 14 2021,0,0,0,,0,1,children and teens 18 and younger,
,Allegheny County,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer,0,summer meal site,4Th And Hawkins,804 4th St,Braddock,PA,15104,Allegheny,Site Hours: Contact site for more information; ,,,40.409362,-79.866604,Allegheny County,June 07 2021,August 20 2021,0,0,0,,0,1,children and teens 18 and younger,
,Allegheny County,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer,0,summer meal site,New Day Ministries,808 Main Street,East Pittsburgh,PA,15112,Allegheny,Site Hours: Contact site for more information; ,,,40.397503,-79.840932,Allegheny County,June 07 2021,August 20 2021,0,0,0,,0,1,children and teens 18 and younger,
,Allegheny County,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer,0,summer meal site,Forest Green Commons,120 Pillar Dr,Coraopolis,PA,15108,Allegheny, Service Type: Grab and Go; Site Hours: Monday to Saturday this site provides 1 breakfast and 1 lunch from 11:30 AM - 1:30 PM for every child; ,,,40.508405,-80.214457,Allegheny County,June 07 2021,August 21 2021,0,0,0,,0,1,children and teens 18 and younger,
,Allegheny County,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer,0,summer meal site,Salvation Army North Boroughs,327 South Home Ave,Pittsburgh,PA,15202,Allegheny, Service Type: Grab and Go; Site Hours: Monday to Thursday this site provides 1 breakfast and 1 lunch from 11:00 AM - 1:00 PM for every child; ,,,40.497719,-80.062623,Allegheny County,June 07 2021,August 19 2021,0,0,0,,0,1,children and teens 18 and younger,
,Allegheny County,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer,73950,summer meal site,Jewish Community Center,5738 Forbes Avenue,Pittsburgh,PA,15217,Allegheny, Service Type: Sit Down (Congregate); Site Hours: Monday through Friday this site serves 1 lunch from 11:00 AM to 1:00 PM and 1 snack from 2:00 PM to 3:00 PM for every child.; Comments: Please contact the site to confirm the information; ,,,40.4380234,-79.92391178,Allegheny County,June 07 2021,August 20 2021,0,0,0,,0,1,children and teens 18 and younger,
,Allegheny County,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer,147240,summer meal site,Rankin Christian Center,230 3rd Avenue,Rankin,PA,15104,Allegheny, Service Type: Grab and Go; Site Hours: Monday and Thursday this site provides bundled breakfast and lunches from 8:00 AM - 12:00 PM for every child; Comments: Please contact the site to confirm the information; ,,,40.41207695,-79.88013657,Allegheny County,June 07 2021,August 20 2021,0,0,0,,0,1,children and teens 18 and younger,
,Allegheny County,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer,152858,summer meal site,Mapleview Terrace,1014 Mapleview Drive,Braddock,PA,15104,Allegheny, Service Type: Sit Down (Congregate); Site Hours: Monday to Friday this site provides 1 breakfast from 9:00 AM - 10:00 AM and 1 lunch from 12:00 PM - 2:00 PM for every child; Comments: Please contact the site to confirm the information; ,,,40.39964062,-79.86194068,Allegheny County,June 07 2021,August 20 2021,0,0,0,,0,1,children and teens 18 and younger,
,Allegheny County,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer,180257,summer meal site,Most Holy Name School,1700 Harpster Street,Pittsburgh,PA,15212,Allegheny, Service Type: Sit Down (Congregate); Site Hours: Monday to Friday this site provides 1 breakfast from 9:30 AM - 10:30 AM and 1 lunch from 12:30 PM - 2:00 PM for every child; Comments: Please contact the site to confirm the information; ,,,40.46462851,-79.98376885,Allegheny County,June 07 2021,August 20 2021,0,0,0,,0,1,children and teens 18 and younger,
,Allegheny County,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer,144028,summer meal site,Mooncrest Community Center,308 Hemlock Drive,Moon Township,PA,15108,Allegheny, Service Type: Sit Down (Congregate); Site Hours: Monday to Friday this site provides 1 snack from 10:00 AM - 11:00 AM and 1 lunch from 11:00 AM - 1:00 PM for every child; Comments: Please contact the site to confirm the information; ,,,40.524912,-80.187228,Allegheny County,June 07 2021,August 13 2021,0,0,0,,0,1,children and teens 18 and younger,
,Allegheny County,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer,177617,summer meal site,Center Of Life,161 Hazelwood Avenue,Pittsburgh,PA,15207,Allegheny, Service Type: Grab and Go; Site Hours: Monday to Friday this site provides 1 breakfast and 1 lunch from 11:00 AM - 2:00 PM for every child; Comments: Please contact the site to confirm the information; ,,,40.41182676,-79.94207512,Allegheny County,June 07 2021,August 20 2021,0,0,0,,0,1,children and teens 18 and younger,
