id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
,Greater Pittsburgh Community Food Bank,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/COVID19_Food_Access_(PUBLIC)/FeatureServer,88663be3-de50-4f31-93ed-4f6abe1323f0,food bank site,Northview Heights,441 Mt. Pleasant Road,Pittsburgh,PA,15214,,"Population Served: Available for children up to 18 years old and those with intellectual disabilities up to 21 years old
Time: Mondays, Wednesdays and Fridays from 11:00 am to 1:00 pm
Additional Info: Grab and Go meal and snack distribution for children",,https://pittsburghpa.gov/citiparks/after-school-feeding-program,40.47895204131295,-80.0007569578037,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,students,phone missing;
,Greater Pittsburgh Community Food Bank,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/COVID19_Food_Access_(PUBLIC)/FeatureServer,fc2963b7-a5eb-4f79-94d3-dd04ebbaff69,food bank site,Glen Hazel Recreation Center,895 Johnston Ave,Pittsburgh,PA,15207,,"Population Served: Available for children up to 18 years old and those with intellectual disabilities up to 21 years old
Time: Mondays, Wednesdays and Fridays from 11 a.m. - 1 p.m
Additional Info: Grab and Go meal and snack distribution for children",,https://pittsburghpa.gov/citiparks/after-school-feeding-program,40.40646086452779,-79.9282902301232,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,students,phone missing;
,Greater Pittsburgh Community Food Bank,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/COVID19_Food_Access_(PUBLIC)/FeatureServer,40a8a590-efc0-4720-881b-c611081267d7,food bank site,Square Cafe,1137 S Braddock Ave,Pittsburgh,PA,15218,,"Population Served: Everyone
Time: Will assess again on Monday, March 23 if giving away food again
Additional Info: Check Facebook for updates.

Monteverde’s Produce has donated fresh produce to our grocery store. We will be setting up outside of the Café TODAY for folks to come and take what they need FOR FREE- NO QUESTIONS ASKED. We will be monitoring safe distances so you can pick up your FREE produce quickly and safely. Please take advantage of this if you need food or have been put in a ficial pinch.

PLEASE NOTE: We are a small business as well so if you are not in need ficially but have grocery and food needs, please consider shopping our groceries located on our website for carryout or delivery.

SAFETY RULES:
- YOU MUST WEAR GLOVES! (We will provide them for you)
- ONE AT A TIME!
- THE NEXT PERSON IN LINE MUST STAND AT THE FIRST TAPE MARK! (6 FEET OF SAFE DISTANCE)
- EVERY PERSON IN LINE WILL NEED TO STAND AT A 6 FOOT TAPE MARK!
- DO NOT GO TO THE NEXT TAPE MARK OR SHOP THE TABLE UNTIL THE PREVIOUS PERSON HAS FULLY LEFT THE AREA!
GO HOME, WASH YOUR HANDS, WASH YOUR PRODUCE, AND ENJOY!",,https://square-cafe.com/2020/03/19/special-announcement-we-are-in-this-together/,40.43208434100006,-79.89325452499997,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,0,phone missing;
,Greater Pittsburgh Community Food Bank,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/COVID19_Food_Access_(PUBLIC)/FeatureServer,3956c27e-dab2-44ce-8077-cc87ed186f2f,food bank site,Pizza Parma (Shadyside),217 S. Highland Ave.,Pittsburgh,PA,15222,,"Population Served: On-Duty Police👮‍♀️,Paramedics🚑and Firefighters🚒 are able to order and pick up a FREE ANY SIZE PIZZA
Site Info: <span style=""color: rgb(28, 30, 33); font-family: Helvetica, Arial, sans-serif; font-size: 14px;"">On-Duty Police, Paramedics and Firefighters are able to order and pick up a FREE ANY SIZE PIZZA</span>
Time: Business hours (but free pick-up hours may vary. previously from 11am-9pm):
Mon– Thur |9 AM - 1 AM
Fri - Sat |9 AM- 2 AM
Sunday |10 AM - 1 AM

Place an order and present an Identifying Badge when picking up your pizza
Additional Info: Please identify Yourselves as On-Duty First Responders 🚓🚑🚒when calling. Place an order and present an Identifying Badge when picking up your pizza",(412) 441-6600‬,https://www.facebook.com/Pizza-Parma-120779961271306/,40.45839846588686,-79.92480221512692,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,none_of_the_above,
,Greater Pittsburgh Community Food Bank,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/COVID19_Food_Access_(PUBLIC)/FeatureServer,6aea7bb9-f4a7-47c8-8ccd-e505da549664,food bank site,Riverdale United Presbyterian Church,1555 Brodhead Rd,Moon Township,PA,15108,,"Population Served: If you need anything come and take. It’s open 24/7. We just ask that you take only what you need and save some for others. 
Time: 24/7
Additional Info: Riverdale Portico Pantry:  There are shelves outside the church. You are welcome to fill them with essential grocery items. Put food that animals can get into, in the cabinets with doors.

(Current need more cabinets with doors)

Likewise if you need anything come and take. It’s open 24/7. We just ask that you take only what you need and save some for others. If you have needs let us know we will do our best to help",,https://www.facebook.com/RiverdaleUnitedPresbyterianChurch/,40.54555842916121,-80.23693748324196,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,0,phone missing;
,Greater Pittsburgh Community Food Bank,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/COVID19_Food_Access_(PUBLIC)/FeatureServer,6ccd0288-8fcf-4e98-8002-8846612c3e5d,food bank site,Little Free Pantry in Bellvue,2 N Sprague Ave,Bellevue,PA,15202,,"Population Served: anyone
Site Info: Outside of The Center of Bellevue
Time: 24/7
Additional Info: Supplies may be limited",,,40.496404270539344,-80.0571197133864,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,0,phone missing;url missing;
,Greater Pittsburgh Community Food Bank,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/COVID19_Food_Access_(PUBLIC)/FeatureServer,a520e2df-0d13-4399-89e6-44e3463e3325,food bank site,Menuette: pay-what-you-can Community Kitchen Store,600 Brookline Blvd,Pittsburgh,PA,15226,,"Population Served: The goal of the Community Kitchen Store program is to connect those who are suffering from ficial or food instability with those who can afford to pay a little extra in order to help their neighbors in need. As this program is still in its pilot phase, it will be limited to South Pittsburgh + South Hills Residents only
Time: preorders are live. estimated delivery date is monday, march 30th; see https://www.menuettepgh.com/ for more details
Additional Info: Currently only soups will be available, but we hope to expand into a larger pay-what-you-can menu in the future",,https://www.facebook.com/pg/menuettepgh/,40.39522878403663,-80.02248888613464,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,none_of_the_above,phone missing;
,Greater Pittsburgh Community Food Bank,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/COVID19_Food_Access_(PUBLIC)/FeatureServer,8278fded-823c-4ffd-8d76-5d3a7bbe8ec9,food bank site,Blessing Box at God's Choice Church,715 Universal Road,Pittsburgh,PA,15235,,"Population Served: anyone
Site Info: box outside of church. Take only what you need. 
Time: 24/7
",,https://www.facebook.com/GCCPennHills/,40.461870200038675,-79.81359733620583,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,0,phone missing;
,Greater Pittsburgh Community Food Bank,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/COVID19_Food_Access_(PUBLIC)/FeatureServer,1d809f32-5b8d-4d78-8ca6-30352bd40c59,food bank site,Piada's Kids Free Lunch Program,3600 Forbes Ave,Pittsburgh,PA,15213,,"Population Served: K-12 students part of the School Lunch program who are affected by the closures
Time: We want to help by offering a free kids pasta with sauce, cheese and a fountain drink, Monday – Friday (Now - May 31), during lunch hours of 11:00 am - 1:00 pm to students affected. Students do not need to be present.  
Additional Info: meals are pasta with sauce, cheese and a fountain drink",,https://mypiada.com/blog/to-our-community,40.440272439120214,-79.95744380996236,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,students,phone missing;
,Greater Pittsburgh Community Food Bank,https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/COVID19_Food_Access_(PUBLIC)/FeatureServer,482d345e-fe7d-440f-8cc6-77b5c5d60eae,food bank site,Greensburg South Pennsylvania Ave Parklet,135 South Pennsylvania Avenue,Greensburg,PA,15601,,"Population Served: Any populations are eligible
Site Info: Located in South Pennsylvania Avenue parklet
Time: 24/7
Additional Info: The Greensburg South Pennsylvania Avenue Parklet Little Free Pantry accepts and distributes non perishables, paper and hygiene products",,https://www.downtowngreensburgpa.us/?page_id=8081&preview=true,40.301893959286915,-79.54507725301013,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,0,
