id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,open_to_spec_group,data_issues,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution
NA,Just Harvest,Just Harvest Google Sheets,NA,NA,Juba Grocery,2721 Brownsville Rd,Pittsburgh,PA,15227,Allegheny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA
NA,Just Harvest,Just Harvest Google Sheets,NA,NA,Carl's Café,337 5th Ave,Rankin,PA,15104,Allegheny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
NA,Just Harvest,Just Harvest Google Sheets,NA,NA,Farm Fresh Foods,226 N. Negley Ave,Pittsburgh,PA,15206,Allegheny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA
NA,Just Harvest,Just Harvest Google Sheets,NA,NA,L.A. Grocery,511 Larimer Ave,Pittsburgh,PA,15206,Allegheny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA
NA,Just Harvest,Just Harvest Google Sheets,NA,NA,Bailey Food Mart,2316 Bailie Ave,McKeesport,PA,15132,Allegheny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA
NA,Just Harvest,Just Harvest Google Sheets,NA,NA,In & Out Corner Market,300 Helen St.,McKees Rocks,PA,15136,Allegheny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
NA,Just Harvest,Just Harvest Google Sheets,NA,NA,Rocks Express,700 Frederick Street,McKees Rocks,PA,15136,Allegheny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
NA,Just Harvest,Just Harvest Google Sheets,NA,NA,Deann's Groceria,207 Brownsville Rd.,Mount Oliver,PA,15210,Allegheny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA
NA,Just Harvest,Just Harvest Google Sheets,NA,NA,Schwartz Market,1901 5th Ave,Pittsburgh,PA,15219,Allegheny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA
NA,Just Harvest,Just Harvest Google Sheets,NA,NA,Produce Marketplace,519 St Clair Ave,Clairton,PA,15025,Allegheny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
NA,Just Harvest,Just Harvest Google Sheets,NA,NA,Ann's Market,2316 Webster Ave,Pittsburgh,PA,15219,Allegheny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA
