id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,Beechview Farmers Market,1563 Beechview Ave,,PA,15216.0,Allegheny,Thursday 3pm-7pm,,,,,,June 20,September 12,1,1,1,1,1,0,,city missing;
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,Belllevue Farmers Market,34 N Balph Ave,Bellevue,PA,15202.0,Allegheny,Bayne Park; Wednesdays 3pm-7pm,,,,,,June 5,October 30,1,1,1,1,1,0,,
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,Bloomfield Saturday Market,5050 Liberty Ave,Pittsburgh,PA,15224.0,Allegheny,Saturdays 9am-1pm,,,,,,May 18,November 2,1,1,1,1,1,0,,
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,Carrick Farmers Market,1529 Brownsville Road,Pittsburgh,PA,15210.0,Allegheny,Wednesdays 3pm-7pm,,,,,,June 19,November 27,1,1,1,1,1,0,,
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,East Liberty Farmers Market,Broad St & Station St,Pittsburgh,PA,15206.0,Allegheny,Garland Parklet Lot. N. Euclid; Mondays 3pm-7pm,,,,,,May 13,November 25,1,1,1,1,1,0,,
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,Garfield Farm Stand,Wiclow St & Columbo St,Pittsburgh,PA,15224.0,Allegheny,Wednesdays 3pm-7:30pm,,,,,,June 5,September 25,1,1,1,1,1,0,,
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,Green Tree Farmers Market,905 Greentree Road,Pittsburgh,PA,15220.0,Allegheny,Thursdays 4pm-7pm,,,,,,May 23,October 31,1,1,1,1,1,0,,
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,Homewood Farmers Market,7139 Fransktown Ave,Pittsburgh,PA,15208.0,Allegheny,Last Saturday; Last Saturdays 3pm-7pm,,,,,,July 27,October 26,1,1,1,1,1,0,,
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,Homewood Farmers Market,7139 Fransktown Ave,Pittsburgh,PA,15208.0,Allegheny,Wednedays 3pm-5:30pm,,,,,,July 3,July 31,1,1,1,1,1,0,,
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,Larimer Farmers Market,Larimer Ave & Carver St,Pittsburgh,PA,,Allegheny,4th Sunday; 4th Sundays 3pm-7pm,,,,,,June 23,November 24,1,1,1,1,1,0,,zip_code missing;
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,Lawrenceville Farmers Market,40th St & Butler St,Pittsburgh,PA,15201.0,Allegheny,Arsenal Park; Tuesdays 4pm-7pm,,,,,,June 4,October 29,1,1,1,1,1,0,,
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,Market Square Farmers Market,Forbes Ave & Market St,Pittsburgh,PA,15222.0,Allegheny,Thursdays 10am-2pm,,,,,,May 16,October 31,1,1,1,1,1,0,,
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,Mellon Square Farmers Market,Smithfield St & Sixth Ave,Pittsburgh,PA,15222.0,Allegheny,"Mellon Square Park,; Fridays 10:30am-1:30pm",,,,,,May 10,October 25,1,1,1,1,1,0,,
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,Moon Township Farmers Market,1000 Beaver Grade Road,Moon,PA,15108.0,Allegheny,"Moon Municipal Building,; Wednesdays 3pm-6pm",,,,,,June 5,September 25,1,1,1,1,1,0,,
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,North Side Farmers Market,East Ohio St & Cedar Ave,Pittsburgh,PA,15101.0,Allegheny,Fridays 3pm-7pm,,,,,,May 17,November 22,1,1,1,1,1,0,,
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,Peters Township Farmers Market,905 East McMurray Rd,Venetia,PA,15367.0,Allegheny,Wednesdays 3pm-7pm,,,,,,May 22,September 25,1,1,1,1,1,0,,
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,South Side Farmers Market,18th St & Carson St,Pittsburgh,PA,15203.0,Allegheny,Tuesdays 3pm-7pm,,,,,,May 14,November 26,1,1,1,1,1,0,,
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,Squirrel Hill Farmers Market,Beacon St & Bartlett St,Pittsburgh,PA,15217.0,Allegheny,Sundays 9am-1pm,,,,,,May 12,November 24,1,1,1,1,1,0,,
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,Swissvale Farmers Market,7301 Schoyer Ave,Swissvale,PA,15218.0,Allegheny,"Lot behind Dickson School,; Saturdays 9am-1pm",,,,,,June 1,October 26,1,1,1,1,1,0,,
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,Wilkinsburg Thursday Open Market,225 Penn Avenue,Wilkinsburg,PA,15221.0,Allegheny,Thursdays 3pm-6p30m,,,,,,June 13,November 14,1,1,1,1,1,0,,
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,Braddock Farm Stand,1000 Braddock Ave,Braddock,PA,15104.0,Allegheny,Saturdays10am-2pm,,,,,,June 1,October 26,1,1,1,1,1,0,,
,Just Harvest,Just Harvest - Fresh Access Markets.xlsx,,farmer's market,Shiloah Farm Stand,Thomas Boulevard & Homewood,Pittsburgh,PA,15208.0,Allegheny,Thursdaus 3pm-6pm,,,,,,June 6,October 31,1,1,1,1,1,0,,
