id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,4808,summer meal site,Hillel Academy Of Pittsburgh,5685 Beacon Street,Pittsburgh,PA,15217,Allegheny,,4125218131.0,,40.43449936,-79.92480444,USDA Food and Nutrition Service,2019-06-24,2019-08-02,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,41960,summer meal site,Castle Shannon Library,3677 Myrtle Avenue,Pgh,PA,15234,Allegheny,,4123438311.0,,40.36800491,-80.02222747,USDA Food and Nutrition Service,2019-06-10,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,40957,summer meal site,Alvern Gardens,1000 Vermont Ave,Pittsburgh,PA,15234,Allegheny,,4123438311.0,,40.35964066,-80.0344076,USDA Food and Nutrition Service,2019-06-10,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,43679,summer meal site,Green Tree Wilson Park,10 West Manilla Dr,Pgh,PA,15220,Allegheny,,4125312207.0,,40.41826487,-80.04681059,USDA Food and Nutrition Service,2019-06-10,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,42688,summer meal site,Dormont Park / Pool & Rec Center,1801 Dormont Ave,Pgh,PA,15216,Allegheny,,4127590201.0,,40.39693497,-80.04313853,USDA Food and Nutrition Service,2019-06-10,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,44510,summer meal site,Keystone Oaks High School Entrance C31,1000 Kelton Ave,Pgh,PA,15216,Allegheny,,4125760386.0,,40.38832797,-80.03445692,USDA Food and Nutrition Service,2019-06-10,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,43765,summer meal site,Hamilton Park,3310 Mcroberts Rd,Pittsburgh,PA,15234,Allegheny,,4125252748.0,,40.36737083,-80.00885285,USDA Food and Nutrition Service,2019-06-17,2019-07-26,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,135392,summer meal site,Saint John'S Evangelical Lutheran Church,601 Washington Ave.,Carnegie,PA,15106,Allegheny,,4122792952.0,,40.4050262,-80.08354631,USDA Food and Nutrition Service,2019-06-10,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,116565,summer meal site,The Academy,2500 Jonquil Way,Pittsburgh,PA,15210,Allegheny,,4128855200x1263,,40.41548212,-79.97201921,USDA Food and Nutrition Service,2019-06-01,2019-08-30,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,118243,summer meal site,Greater Valley Community Services Inc,300 Holland Ave,Braddock,PA,15104,Allegheny,,4123517056x204,,40.40644018,-79.87156909,USDA Food and Nutrition Service,2019-06-17,2019-08-21,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,135952,summer meal site,Acac Union Place,801 Union Ave,Pittsburgh,PA,15212,Allegheny,,4123214333x369,,40.4544164,-80.00313238,USDA Food and Nutrition Service,2019-06-17,2019-07-26,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,42399,summer meal site,Cornell Sd,1099 Maple Street,Coraopolis,PA,15108,Allegheny,,4122645010x101,,40.51159656,-80.16157818,USDA Food and Nutrition Service,2019-06-11,2019-08-23,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,90116,summer meal site,Cada Programs,2901 Maryland Ave,N. Versailles,PA,15137,Allegheny,,4128292711.0,,40.3807598,-79.83511013,USDA Food and Nutrition Service,2019-06-10,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,132686,summer meal site,Edgewood Library,1 Pennwood Ave #2,Edgewood,PA,15218,Allegheny,,4127310909.0,,40.43213764,-79.88503895,USDA Food and Nutrition Service,2019-06-17,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,133108,summer meal site,Opening Doors For Youth And Families,1256 Franklin Ave,Pittsburgh,PA,15221,Allegheny,,4125400355.0,,40.43785959,-79.8745267,USDA Food and Nutrition Service,2019-06-17,2019-08-09,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,74867,summer meal site,Warren United Methodist Church,2606 Centre Ave.,Pittsburgh,PA,15219,Allegheny,,4127366679.0,,40.44648843,-79.96831189,USDA Food and Nutrition Service,2019-06-12,2019-08-08,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,74621,summer meal site,Sheraden United Methodist Church,2966 Chartiers Ave.,Pittsburgh,PA,15204,Allegheny,,4128746242.0,,40.45429227,-80.05809732,USDA Food and Nutrition Service,2019-06-12,2019-08-09,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,73605,summer meal site,Emanuel United Methodist Church,856 Crucible St.,Pittsburgh,PA,15220,Allegheny,,4122155846.0,,40.44301148,-80.0412483,USDA Food and Nutrition Service,2019-06-12,2019-08-09,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,112566,summer meal site,Pine Run United Methodist Church,901 N 6Th St.,Clairton,PA,15025,Allegheny,,4129014543.0,,40.31004675,-79.89832833,USDA Food and Nutrition Service,2019-06-10,2019-08-09,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,41411,summer meal site,Beulah Park Umc,1615 Grandview Ave.,Mckeesport,PA,15132,Allegheny,,4127384894.0,,40.34181507,-79.83667581,USDA Food and Nutrition Service,2019-06-10,2019-08-08,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,42152,summer meal site,Christy Park Umc,436 29Th St.,Mckeesport,PA,15132,Allegheny,,4127265567.0,,40.33413555,-79.84340164,USDA Food and Nutrition Service,2019-06-10,2019-08-08,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,46246,summer meal site,Parkford Apartments,601 Parkford Drive,South Park,PA,15129,Allegheny,,7248258707.0,,40.29157108,-79.99458508,USDA Food and Nutrition Service,2019-06-10,2019-08-09,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,73775,summer meal site,Grace United Methodist Church,1333 Freeport Rd.,Natrona Heights,PA,15065,Allegheny,,4129169478.0,,40.61750529,-79.73398052,USDA Food and Nutrition Service,2019-06-10,2019-08-07,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,110393,summer meal site,Coraopolis Church Of God,1101 Vance Ave.,Coraopolis,PA,15108,Allegheny,,4123107053.0,,40.51488826,-80.16439111,USDA Food and Nutrition Service,2019-06-12,2019-08-09,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,124303,summer meal site,Faithbridge Community Church,101 Broadway Ave.,Mckees Rocks,PA,15136,Allegheny,,4126075006.0,,40.46652116,-80.06669567,USDA Food and Nutrition Service,2019-06-10,2019-08-08,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,73950,summer meal site,Jewish Community Center,5738 Forbes Avenue,Pittsburgh,PA,15217,Allegheny,,4126973512.0,,40.43801554,-79.92396047,USDA Food and Nutrition Service,2019-06-17,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,73939,summer meal site,James And Rachel Levenson Family Park,261 Rosecrest Drive,"Monroeville, Pa",PA,15146,Allegheny,,4128297707.0,,40.42004605,-79.78541661,USDA Food and Nutrition Service,2019-06-17,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,132460,summer meal site,Beechview United Presbyterian,1621 Broadway Avenue,Pittsburgh,PA,15216,Allegheny,,4129538852.0,,40.40972221,-80.02454649,USDA Food and Nutrition Service,2019-06-13,2019-08-08,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,132474,summer meal site,Bidwell Presbyterian,1025 Liverpool Street,Pittsburgh,PA,15233,Allegheny,,4129561142.0,,40.45597674,-80.02089893,USDA Food and Nutrition Service,2019-06-17,2019-08-02,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,132508,summer meal site,Bridge Point Church,400 E. 9Th Ave,Tarentum,PA,15084,Allegheny,,7247129222.0,,40.60489419,-79.75340151,USDA Food and Nutrition Service,2019-06-12,2019-07-24,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,50661,summer meal site,Central Presbyterian Church,305 Allegheny Street,Tarentum,PA,15084,Allegheny,,7248822185.0,,40.60257211,-79.75040849,USDA Food and Nutrition Service,2019-06-10,2019-08-09,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,133274,summer meal site,Sto-Rox Library,420 Chartiers Avenue,Mckees Rocks,PA,15136,Allegheny,,7246104383.0,,40.46474985,-80.05850443,USDA Food and Nutrition Service,2019-06-11,2019-08-09,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,133048,summer meal site,Natrona Ball Field,12-20 River Road,Natrona Heights,PA,15065,Allegheny,,7245947733.0,,40.61306307,-79.72044812,USDA Food and Nutrition Service,2019-06-10,2019-08-09,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,119792,summer meal site,Sto-Rox Jshs,298 Ewing Road,Mckees Rocks,PA,15136,Allegheny,,4127713213x5217,,40.48330039,-80.09019487,USDA Food and Nutrition Service,2019-06-10,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,140545,summer meal site,Penn Hills Charter School For Entrepreneurship,2501 Main Street,Penn Hills,PA,15235,Allegheny,,4127936471x224,,40.47064499,-79.78908216,USDA Food and Nutrition Service,2019-06-24,2019-08-01,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,85958,summer meal site,Evo Evaline,259 S. Evaline,Pittsburgh,PA,15224,Allegheny,,4124142993.0,,40.46242983,-79.94154483,USDA Food and Nutrition Service,2019-06-17,2019-07-26,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,95288,summer meal site,Sojourner House,5524 Hays Street,Pittsburgh,PA,15206,Allegheny,,4126003760.0,,40.47028857,-79.92862278,USDA Food and Nutrition Service,2019-07-01,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,138857,summer meal site,Braddock/Swissvale Midget Football,Dickson Field (7301 Schoyer Avenue),Pittsburgh,PA,15218,Allegheny,,4129960274.0,,40.42048284,-79.88559235,USDA Food and Nutrition Service,2019-07-01,2019-08-25,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,139973,summer meal site,Kingsley Community Center Association,6435 Frankstown Ave.,Pittsburgh,PA,15206,Allegheny,,4123627609x161,,40.46092584,-79.91516507,USDA Food and Nutrition Service,2019-06-17,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,141561,summer meal site,Ymca - Saturday,5101 Hillcrest,Pittsburgh,PA,15224,Allegheny,,4126546046.0,,40.46873331,-79.94188895,USDA Food and Nutrition Service,2019-07-09,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,46328,summer meal site,Penn Hills Elementary School,1079 Jefferson Road,Pittsburgh,PA,,Allegheny,,4127937000.0,,40.449431700000005,-79.80929644,USDA Food and Nutrition Service,2019-06-17,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,113090,summer meal site,Special Olympics Day,309 Collins Dr,Pittsburgh,PA,,Allegheny,,4127937000x5267,,40.46558714,-79.81216437,USDA Food and Nutrition Service,2019-07-19,2019-07-19,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,110998,summer meal site,Gateway School District,5000 Gateway Campus Blvd,Monroeville,PA,,Allegheny,,4123735878.0,,40.42987121,-79.75447393,USDA Food and Nutrition Service,2019-06-11,2019-07-11,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,143257,summer meal site,Gsh - Band And Football,3000 Gateway Campus Blvd,Monroeville,PA,,Allegheny,,4123735777.0,,40.43044246,-79.75408826,USDA Food and Nutrition Service,2019-08-05,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,75888,summer meal site,Gsh- Summer School?,3000 Gateway Campus Blvd,Monroeville,PA,,Allegheny,,4123735777.0,,40.43044246,-79.75408826,USDA Food and Nutrition Service,2019-06-11,2019-07-11,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,91511,summer meal site,Pittsburgh Project,2801 North Charles Street,Pittsburgh,PA,,Allegheny,,4123211678x537,,40.47007126,-80.01366844,USDA Food and Nutrition Service,2019-06-12,2019-08-02,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,144704,summer meal site,Shepards Door,334 N. Balph Avenue,Pittsburgh,PA,,Allegheny,,4127614310.0,,40.50452674,-80.04942912,USDA Food and Nutrition Service,2019-06-10,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,110124,summer meal site,Carnegie Library Of Homestead,510 E 10Th Avenue,Munhall,PA,,Allegheny,,4124624669.0,,40.40736552,-79.90299256,USDA Food and Nutrition Service,2019-06-17,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,145353,summer meal site,Wilkinsburg Youth Project #1,1256 Franklin Ave,Pittsburgh,PA,,Allegheny,,4125400355.0,,40.43785959,-79.8745267,USDA Food and Nutrition Service,2019-06-17,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,144830,summer meal site,St. Basil Parish,1735 Brownsville Road,Pittsburgh,PA,,Allegheny,,4128847744x202,,40.39741817,-79.98806081,USDA Food and Nutrition Service,2019-06-18,2019-08-15,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,142365,summer meal site,California Avenue Park,721 California Avenue,Avalon,PA,,Allegheny,,4125760878.0,,40.50062812,-80.06658619,USDA Food and Nutrition Service,2019-06-10,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,142407,summer meal site,Carnegie Boys And Girls Club,630 Washington Avenue,Carnegie,PA,,Allegheny,,4124527656.0,,40.40464375,-80.08355767,USDA Food and Nutrition Service,2019-06-10,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,78852,summer meal site,Market Central,3990 Fifth Ave,Pittsburgh,PA,,Allegheny,,4126488278.0,,40.44290904,-79.95683371,USDA Food and Nutrition Service,2019-06-10,2019-08-09,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,143390,summer meal site,Hosanna House Inc.,807 Wallace Avenue,Pittsburgh,PA,,Allegheny,,4125123112.0,,40.44332267,-79.88073289,USDA Food and Nutrition Service,2019-06-10,2019-08-09,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,144705,summer meal site,Sherwood Park,400 Sherwood Road,Pittsburgh,PA,,Allegheny,,4125123112.0,,40.43509526,-79.86387293,USDA Food and Nutrition Service,2019-06-10,2019-08-09,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,143156,summer meal site,Glassport Community Outreach,500 Ohio Avenue,Glassport,PA,,Allegheny,,4125800562.0,,40.32751483,-79.89146608,USDA Food and Nutrition Service,2019-06-10,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,143381,summer meal site,Homeville Elementary,4315 Eliza Street,West Mifflin,PA,,Allegheny,,4123521480.0,,40.38874264,-79.87533733,USDA Food and Nutrition Service,2019-06-10,2019-08-15,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,143819,summer meal site,Mapleview Terrace,1014 Mapleview Dr.,Braddock,PA,,Allegheny,,4125524837.0,,40.39962126,-79.86193076,USDA Food and Nutrition Service,2019-06-10,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,144028,summer meal site,Moocrest Community Center,308 Hemlock Drive,Moon Township,PA,,Allegheny,,4122995651.0,,40.52477015,-80.18727701,USDA Food and Nutrition Service,2019-06-10,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,142995,summer meal site,Ferris Boys & Girls Club Of Mckees Rocks,Willow St. & Deweyville Rd,Mckees Rocks,PA,,Allegheny,,4125096534.0,,40.469157,-80.0795925,USDA Food and Nutrition Service,2019-06-10,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,144117,summer meal site,Nativity Church,5811 Curry Rd.,Pittsburgh,PA,,Allegheny,,4128889900.0,,40.32829575,-79.98780779,USDA Food and Nutrition Service,2019-06-10,2019-07-18,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,142673,summer meal site,Coraopolis Youth Creations,1027 State Ave,Coraopolis,PA,,Allegheny,,4123107053.0,,40.51667609,-80.16366101,USDA Food and Nutrition Service,2019-06-12,2019-08-09,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,75188,summer meal site,Allegheny Center Alliance Church,250 East Ohio Street,Pittsburgh,PA,,Allegheny,,4123214333x112,,40.45305922,-80.00315933,USDA Food and Nutrition Service,2019-06-12,2019-08-01,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,88317,summer meal site,Sheldon Park,480 Park Avenue,Natrona Heights,PA,,Allegheny,,7242249142.0,,40.62368258,-79.72039345,USDA Food and Nutrition Service,2019-06-17,2019-08-09,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,111271,summer meal site,Hilltop Umc,631 E Warrington Ave.,Pittsburgh,PA,,Allegheny,,4125326157.0,,40.42178045,-79.9962147,USDA Food and Nutrition Service,2019-06-19,2019-08-07,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,104946,summer meal site,Pittsburgh Lincoln K-5,328 Lincoln Ave,Pittsburgh,PA,,Allegheny,,2028052785.0,,40.46049017,-79.91243772,USDA Food and Nutrition Service,2019-06-24,2019-08-02,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,88999,summer meal site,Weil Technology Inst (Weil Ala),2250 Centre Ave,Pittsburgh,PA,,Allegheny,,4125293300.0,,40.44516954,-79.97420089,USDA Food and Nutrition Service,2019-06-24,2019-08-02,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,46435,summer meal site,Pittsburgh Oliver,2323 Brighton Road,Pittsburgh,PA,,Allegheny,,4122927774.0,,40.46475006,-80.02399338,USDA Food and Nutrition Service,2019-06-24,2019-08-01,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,46429,summer meal site,Pittsburgh Brashear Hs,590 Crane Avenue,Pittsburgh,PA,,Allegheny,,4125293300x7338,,40.41714044,-80.02031695,USDA Food and Nutrition Service,2019-08-12,2019-08-16,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,47324,summer meal site,South Brook Middle School,785 Dunster Avenue,Pittsburgh,PA,,Allegheny,,4125298141.0,,40.402370399999995,-80.00984682,USDA Food and Nutrition Service,2019-07-08,2019-07-26,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,46430,summer meal site,Pittsburgh Children'S Museum (Children'S Museum Ec),12 Children'S Way,Pittsburgh,PA,,Allegheny,,4125293300x3300,,40.45163511,-80.00636206,USDA Food and Nutrition Service,2019-06-24,2019-08-02,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,46432,summer meal site,Pittsburgh Faison K-5,7430 Tioga Street,Pittsburgh,PA,,Allegheny,,4125293300x353,,40.45277256,-79.89388098,USDA Food and Nutrition Service,2019-06-24,2019-08-01,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,147186,summer meal site,Pittsburgh Hs Creat & Per Arts,111 9Th Street,Pittsburgh,PA,,Allegheny,,4125296143.0,,40.4443626,-79.99861209999999,USDA Food and Nutrition Service,2019-06-24,2019-08-02,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
,USDA Food and Nutrition Service,Summer_Meal_Sites_2019.csv,147185,summer meal site,Pittsburgh Classical Academy (Ms),1400 Crucible Street,Pittsburgh,PA,,Allegheny,,4125293300.0,,40.44718269,-80.05107516,USDA Food and Nutrition Service,2019-06-24,2019-08-01,0,0,0,,0,1,children and teens 18 and younger,zip_code missing;
