X,Y,FID,globalid,EditDate,POC_name,POC_phone,POC_email,SITE_name,SITE_website,SITE_specific_location,Time,PublicNotes,SITE_address1,SITE_address2,SITE_city,SITE_state,SITE_zip,STATUS,Population_Served,Population_Served_filter,Volunteer,Volunteer_Info,Limited,CATEGORY
-79.983429664,40.3215246930001,60,{DE34C305-4BD2-40A5-AE4F-21B8BC1B61A4},2020/03/24 19:38:33,,,,Broughton Fire Hall,,(none),Call for times,Caseworkers can pick up for families. Doorstop delivery available ,1030 Cochrans Mill Road,,Pittsburgh,PA,15236,active,Any Families in Need,"everyone,students,senior_citizens",,,,Other
-79.981859786,40.2899573990001,66,{DB282898-F75D-4A34-B9D7-D9ABE5D10141},2020/03/24 19:39:17,,,,South Park Italian Village Pizza,,(none),"Until 9am, 11am-12:30pm",Will provide lunch at Breakfast,2951 Ridge Road ,,South Park ,PA,15219,active,Children,students,,,,Other
-79.932371185,40.3609648080001,67,{62178DB5-C45C-48CD-8C68-9B099EB9D5E8},2020/03/24 19:39:25,,,,Mulligan’s Sports Bar and Grill,,(none),"Monday-Friday, 11:30-1:30pm",Pizza Slice and Apple Sauce OR Chicken Tenders and Fries,1013 Lebanon Road ,,West Mifflin ,PA,15122,active,Children up to age 14,students,,,,Other
-80.001529434,40.479632107,139,{88663BE3-DE50-4F31-93ED-4F6ABE1323F0},2020/03/24 19:42:52,,,,Northview Heights Gym,,(none),"Monday-Friday, 11-1pm",,425 Mt. Pleasant Road ,,Pittsburgh,PA,15214,active,Contact for more details.,none_of_the_above,,,,Other
-79.926287513,40.4097395320001,140,{FC2963B7-A5EB-4F79-94D3-DD04EBBAFF69},2020/03/24 19:42:55,,,,Glen Hazel Recreation Center,,(none),"Monday-Friday, 11-1pm",,895 Johnstown Ave,,Pittsburgh,PA,15207,active,Contact for more details.,none_of_the_above,,,,Other
-79.704232066,40.4632882670001,141,{DA775DE9-17C6-4041-9A40-D4D7D4EE0626},2020/03/24 19:42:58,,,,Holiday Park,,Entrance 4,"Monday-Friday, 8-9am, 11am-1pm",,80 Sandune Drive,,Plum,PA,15239,active,Contact for more details.,none_of_the_above,,,,Other
-79.842255581,40.525651888,168,{44B9753A-6AAC-4362-852D-F0AEF712AAB1},2020/03/26 21:17:06,"Sparkt, Marty Griffin - GET MARTY",,,Oakmont Bakery,https://www.facebook.com/events/2239748849654462/,drive-through service,"Monday, March 23, 9:00AM until run out of food","Turkey, roast beef and cheese sandwiches with chips

Sparkt Marty Griffin - GET MARTY  has partnered with Chaffin Luhana Foundation, Oakmont Bakery, Nation's Best Meat Wholesalers, Lamagna Cheese, UTZ Quality Foods INC., Sam's Club, Oakmont Deli, Bird Dog's Sports Bar & Grill, 412 Food Rescue, and Audio Visual Productions to help feed people in the Pittsburgh area during these trying times.",1 Sweet St.,,Oakmont,PA,15139,closed,anyone,closed,No,,no,Other
-79.893254525,40.4320843410001,171,{40A8A590-EFC0-4720-881B-C611081267D7},2020/03/26 21:17:07,,,,Square Cafe,https://www.facebook.com/SquareCafe/,(none),"Will assess again on Monday, March 23 if giving away food again","Check Facebook for updates.

Monteverde’s Produce has donated fresh produce to our grocery store. We will be setting up outside of the Café TODAY for folks to come and take what they need FOR FREE- NO QUESTIONS ASKED. We will be monitoring safe distances so you can pick up your FREE produce quickly and safely. Please take advantage of this if you need food or have been put in a financial pinch.

PLEASE NOTE: We are a small business as well so if you are not in need financially but have grocery and food needs, please consider shopping our groceries located on our website for carryout or delivery.

SAFETY RULES:
- YOU MUST WEAR GLOVES! (We will provide them for you)
- ONE AT A TIME!
- THE NEXT PERSON IN LINE MUST STAND AT THE FIRST TAPE MARK! (6 FEET OF SAFE DISTANCE)
- EVERY PERSON IN LINE WILL NEED TO STAND AT A 6 FOOT TAPE MARK!
- DO NOT GO TO THE NEXT TAPE MARK OR SHOP THE TABLE UNTIL THE PREVIOUS PERSON HAS FULLY LEFT THE AREA!
GO HOME, WASH YOUR HANDS, WASH YOUR PRODUCE, AND ENJOY!",1137 S Braddock Ave,,Pittsburgh,PA,15218,active,Everyone,"everyone,students,senior_citizens",No,,,Other
-80.050071637,40.408358895,173,{59C52E90-6A24-43D5-877E-104D5389259F},2020/04/27 19:51:03,Molly Penderville,412-854-9120 x108 ,mpenderville@shimcares.org,Wallace Food Pantry,https://shimcares.org/basic-needs/#1516372039366-428066b2-643c,"(none)


","Tuesdays: noon-1pm
","Please call to schedule a pick up at 412-561-7551

",1146 Greentree Rd,,Pittsburgh,PA,15220,closed,"SHIM site - Serving Baldwin/Whitehall, Bethel Park, South Park, Keystone Oaks, Mt Lebanon, Upper St Clair",closed,No,,no,
-79.982499698,40.46390748,176,{9AE71D5F-AAF9-4FF7-87CB-7A8FB4E654D3},2020/03/21 21:18:58,,412-251-0822,scratchfbpgh@gmail.com,Scratch Food and Beverage,http://www.scratchfoodbev.com/#hang-together,(none),taking orders at all times. we will call you to confirm your pick up.,"We are no longer operating as a restaurant. Instead, your favorite space where friendly paths intersect is now the place where you can order food, beverage, and household items that you will need to get you through this time. Many items will be available to you at no cost. 

Look through our inventory under “order here”. If you need something that isn’t listed, send us an email. We will work to find it for you. 

Once you place your order, wait for a call from us. We will walk you through our pick up procedure, and schedule your pickup time with everyone’s safety in mind. 

We are working on being able to accept orders for delivery and ACCESS payments. When those are available, we will let you know. ",1720 Lowrie Street,,Pittsburgh,PA,15212,active,anyone,"everyone,students,senior_citizens",No,,,
-80.0181273429999,40.547618551,177,{99AF1DBD-6E23-4C1F-8482-86265FD2C7AA},2020/03/21 21:18:47,Usha Sethi (Owner),412-364-1760 or 412-585-4103,,Taj Mahal Restaurant,https://www.facebook.com/tajmahalpittsburgh/,(none),anytime,"Pittsburgh is the city that welcomed my husband and I as immigrants in 1985- it’s the city that raised my two wonderful children. In these trying times it’s critical that we all look out for the most vulnerable in our community. If you are a senior or know of a senior in need of a meal in the North Hills, please contact me and we will arrange for a free lunch/dinner to be delivered to their home or available to be picked up. And if you are a family that’s struggling, please reach out as well- You have all supported our business through good times and bad, now is our chance to do the same.",7795 McKnight Rd,,Pittsburgh,PA,15237,active,senior citizens & struggling families ,"everyone,students,senior_citizens",No,,,
-79.9411726659999,40.4647654500001,178,{741679C5-66C2-4750-8D9A-4E1E79DAB605},2020/03/21 21:19:08,,412-661-3160,,Peoples Indian Restaurant,https://www.facebook.com/Peoples-Indian-Restaurant-102222336506476/,(none),Pick up available from 11:30am to 2:30pm Monday thru Saturday. Please call ahead so we can minimize contact.,"togo lunch box of chicken curry, chick peas, and rice available for pick up", 5147 Penn Ave,,Pittsburgh,PA,15224,active,Peoples Indian Restaurant is humbly extending a helping hand to its neighbors who may be in need. ,"everyone,students,senior_citizens",No,,,
-79.9958213209999,40.4437761720001,182,{4B7CC60F-E9D4-4C2D-8555-056F86CCFEF4},2020/03/21 22:53:47,,412 577 7300‬,,Pizza Parma (Downtown),https://www.facebook.com/Pizza-Parma-120779961271306/,(none),"Business hours (but free pick-up hours may vary. previously from 11am-9pm):
Mon– Thur |9 AM - 1 AM
Fri - Sat |9 AM- 2 AM
Sunday |10 AM - 1 AM

Place an order and present an Identifying Badge when picking up your pizza. ",Please identify Yourselves as On-Duty First Responders 🚓🚑🚒when calling. Place an order and present an Identifying Badge when picking up your pizza.,963 Liberty Ave,,Pittsburgh,PA,15222,active,"On-Duty Police👮‍♀️,Paramedics🚑and Firefighters🚒 are able to order and pick up a FREE ANY SIZE PIZZA",none_of_the_above,No,,,
-79.9248022149999,40.4583984660001,183,{3956C27E-DAB2-44CE-8077-CC87ED186F2F},2020/03/21 22:53:31,,412 441 6600‬,,Pizza Parma (Shadyside),https://www.facebook.com/Pizza-Parma-120779961271306/,(none),"Business hours (but free pick-up hours may vary. previously from 11am-9pm):
Mon– Thur |9 AM - 1 AM
Fri - Sat |9 AM- 2 AM
Sunday |10 AM - 1 AM

Place an order and present an Identifying Badge when picking up your pizza.",Please identify Yourselves as On-Duty First Responders 🚓🚑🚒when calling. Place an order and present an Identifying Badge when picking up your pizza.,217 S. Highland Ave.,,Pittsburgh,PA,15222,active,"On-Duty Police👮‍♀️,Paramedics🚑and Firefighters🚒 are able to order and pick up a FREE ANY SIZE PIZZA",none_of_the_above,No,,,
-80.236937483,40.545558429,184,{6AEA7BB9-F4A7-47C8-8CCD-E505DA549664},2020/03/21 23:03:33,,,,Riverdale United Presbyterian Church,https://www.facebook.com/RiverdaleUnitedPresbyterianChurch/,(none),24/7,"Riverdale Portico Pantry:  There are shelves outside the church. You are welcome to fill them with essential grocery items. Put food that animals can get into, in the cabinets with doors.

(Current need more cabinets with doors)

Likewise if you need anything come and take. It’s open 24/7. We just ask that you take only what you need and save some for others. If you have needs let us know we will do our best to help.",1555 Brodhead Rd,,Moon Township,PA,15108,active,If you need anything come and take. It’s open 24/7. We just ask that you take only what you need and save some for others. ,"everyone,students,senior_citizens",No,,,
-80.057119713,40.4964042710001,185,{6CCD0288-8FCF-4E98-8002-8846612C3E5D},2020/03/21 23:34:58,,,,Little Free Pantry in Bellvue,,(none),24/7,(at an old church that's used for community events),2 N Sprague Ave,,Bellevue,PA,15202,active,anyone,"everyone,students,senior_citizens",No,,,
