Name,Street_Address,City,State,Zip,Latitude,Longitude,Additional_Directions,Day_Time,Season,Affiliations
Ambridge Farmer's Market,624 Park Road,Ambridge,PA,15003,40.586729,-80.229576,"St. Mary's Church parking lot, near Do It Best",Thursday 4:00 PM-7:00 PM,June-November,
Aspinwall Flea Market,217 Commerical Avenue,Aspinwall,PA,15215,40.490575,-79.904305,Municipal parking lot,Sunday 7:00 AM-1:00 PM,June-November,
Bachman's Greenhouse and Nursery,2905 Freeport Road,Natrona Heights,PA,15065,40.640015,-79.711384,,Daily 8:00 AM-7:00 PM,June-October,
Bachman's Greenhouse and Nursery,Route 908 & Ekastown Road,Natrona Heights,PA,15065,40.667206,-79.730284,,Daily 10:00 AM-6:00 PM,July-October,
Beccari's Farm Market,5095 Thoms Run Road,Oakdale,PA,15071,40.373965,-80.133129,,Tuesday-Friday 12:00 PM-5:00 PM and Saturday-Sunday 12:00 PM-4:00 PM,June-October,
Bedner's Farm,1520 Bower Hill Road,Pittsburgh,PA,15220,40.361146,-80.089128,,Daily 9:00 AM-6:00 PM,June-October,
Beechview Fresh Access,Broadway Avenue & Hampshire Avenue,Pittsburgh,PA,15216,40.410567,-80.024673,,Thursday 4:00 PM-7:00 PM,June 20-September 12,Just Harvest
Bellevue Farmer's Market,34 N. Balph Avenue,Pittsburgh,PA,15202,40.496526,-80.054299,Bayne Park,Wednesday 3:00 PM-7:00 PM,June-October,Just Harvest
Bethel Park Farmer's Market,Corrigan Drive,Bethel Park,PA,15102,40.319687,-80.008541,South Park VIP parking lot,Tuesday 3:00 PM-7:00 PM,June-September,
Blackberry Meadows Farm,7115 Ridge Road,Natrona Heights,PA,15065,40.657587,-79.747334,,Wednesday 11:00 AM-7:00 PM,June-October,
Bloomfield Farmer's Market,5050 Liberty Avenue,Pittsburgh,PA,15224,40.459003,-79.944493,,Saturday 9:00 AM-1:00 PM,June-November,
Braddock Farm Stand ,6th Street & Braddock Avenue,Braddock,PA,15104,40.403283,-79.868588,,Saturday 10:00 AM-2:00 PM,June-October,"Just Harvest, Grow Pittsburgh"
Bridge's Farm,7108 Leechburg Road,New Kenington,PA,15068,40.517658,-79.764416,,Monday-Saturday 9:00 AM-6:00 PM and Sunday 9:00 AM-5:00 PM,June-November,
Carrick Farmer's Market,1529 Brownsville Road,Pittsburgh,PA,15210,40.400141,-79.988968,,Wednesday 3:00 PM-7:00 PM,June-November,"Citiparks, Just Harvest"
Clairton Green Grocer,533 Miller Avenue,Clairton,PA,15025,40.294044,-79.883259,Family Dollar parking lot,Wednesday 3:00 PM-4:00 PM,Year Round,Greater Pittsburgh Community Food Bank
Coraopolis Farmer's Market,1211 5th Avenue,Coraopolis,PA,15108,40.516388,-80.161044,Presbyterian Church,Monday 3:30 PM-6:30 PM,July-September,
DeCarlo's Market,560 McKeesport Road,Elizabeth,PA,15037,40.278533,-79.875457,,Monday-Saturday 8:00 AM-6:00 PM,June-November,
Dillner Family Farm,4140 Sandy Hill Road,Gibsonia,PA,15044,40.669553,-79.921152,,Monday-Friday 10:00 AM-6:00 PM and Saturday-Sunday 9:00 AM-5:00 PM,June-November,
Douds Floyd Farm,405 Pleasant Drive,Aliquippa,PA,15001,40.653395,-80.33369,,Monday-Saturday 11:00 AM-6:00 PM,August-September,
Duda's Farm Stand,1029 Lebanon Road,West Mifflin,PA,15122,40.36009,-79.932729,,Monday-Friday 10:00 AM-5:30 PM and Saturday-Sunday 10:00 AM-4:00 PM,June-November,
Duda's Farm Stand,Hayden Boulevard,Elizabeth,PA,15037,40.258934,-79.878584,,Monday-Friday 9:00 AM-5:30 PM and Saturday-Sunday 9:30 AM-4:30 PM,June-November,
Duquesne Green Grocer,1 N. Linden Street,Duquesne,PA,15110,40.37579,-79.842718,Greater Pittsburgh Community Food Bank,Thursday 3:00 PM-4:00 PM,Year Round,Greater Pittsburgh Community Food Bank
East Hills Green Grocer,2291 Wilner Drive,Pittsburgh,PA,15221,40.454251,-79.869969,East Hills Community Center,Friday 1:00 PM-2:00 PM,Year Round,Greater Pittsburgh Community Food Bank
East Liberty Farmer's Market,N. Euclid Avenue,Pittsburgh,PA,15206,40.471654,-79.922148,Garland Parklet lot next to firehouse,Monday 3:00 PM-7:00 PM,June-November,Citiparks
Eichner's Farm Market,285 Richard Road,Wexford,PA,15090,40.607845,-80.060142,,Monday-Friday 9:00 AM-6:00 PM and Saturday-Sunday 9:00 AM-5:00 PM,June-November,
Elizabeth Farmer's Market,Water Street,Elizabeth,PA,15037,40.272309,-79.888919,,"2nd Saturday of the month, 9:00 AM-1:00 PM",June-October,
Etna Farmer's Market,437 Butler Street,Pittsburgh,PA,15223,40.499688,-79.944058,,Thursday 3:00 PM-6:30 PM,June-October,
Farmer's Co-Op of East Liberty,344 N. Sheridan Avenue,Pittsburgh,PA,15206,40.464359,-79.921285,Next to Home Depot,Saturday 5:00 AM-12:00 PM,Year Round,
Forest Hills Farmer's Market,Ardmore Boulevard,Pittsburgh,PA,15221,40.427339,-79.862839,Forest Hills Presbyterian Church,Friday 4:00 PM-7:00 PM,June-October,
Fox Chapel Farmer's Market,423 Fox Chapel Road,Pittsburgh,PA,15238,40.522005,-79.886905,Shadyside Academy,Wednesday 3:00 PM-6:30 PM,June-November,
Friel's Farm Market,390 Friel Road,Baden,PA,15005,40.631948,-80.156065,,Daily 11:00 AM-6:00 PM,July-October,
Glassport Green Grocer,440 Monongahela Avenue,Glassport,PA,15045,40.327806,-79.892689,Glassport Honor Roll Park,Wednesday 4:30 PM-6:30 PM,Year Round,Greater Pittsburgh Community Food Bank
Green Tree Farmer's Market,10 W. Manila Avenue,Pittsburgh,PA,15220,40.418771,-80.047047,Green Tree Park,Thursday 4:00 PM-7:00 PM,June-October,Just Harvest Fresh Access
Harvest Valley Farm,6003 Cunningham Road,Gibsonia,PA,15044,40.663915,-79.934944,,Monday-Friday  10:00 AM-6:00 PM,,
Holy Cross Farmer's Market,123 Gilkeson Road,Pittsburgh,PA,15228,40.355484,-80.053081,,Monday 4:00 PM-7:00 PM,June-October,
Homewood Fresh Access,7139 Frankstown Avenue,Pittsburgh,PA,15208,40.457852,-79.89772,,Last Saturday of the month 3:00 PM-7:00 PM,July-October,Phipps Conservatory
Homewood Green Grocer,7227 Hamilton Avenue,Pittsburgh,PA,15208,40.4546,-79.896217,Alma Illery Medical Center,Friday 11:30 AM-12:30 PM,Year Round,Greater Pittsburgh Community Food Bank
Homewood Backyard Market,7139 Frankstown Avenue,Pittsburgh,PA,15208,40.457852,-79.89772,,Wednesday 3:00 PM-5:30 PM,July ,Grow Pittsburgh
Janoski's Farm Market,1714 Route 30,Clinton,PA,15026,40.492125,-80.331248,,Daily 9:00 AM-6:00 PM,June-November,
Jodikinos Farm Stand,2488 Route 18,Clinton,PA,15026,40.540033,-80.419116,,Daily 9:00 AM-6:00 PM,June-November,
Larimer Farm Stand,413 Larimer Avenue,Pittsburgh,PA,15206,40.465052,-79.915181,Larimer Community Garden & Urban Farm,4th Sunday of the month 3:00 PM-7:00 PM,June 23-November 24,Just Harvest Fresh Access
Late Bloomers Garden Club Farmer's Market,1840 Ardmore Boulevard,Pittsburgh,PA,15221,40.424984,-79.861141,,Friday 4:00 PM-7:00 PM,June-October,
Lawrenceville Farmer's Market,250 40th Street,Pittsburgh,PA,15201,40.467695,-79.960795,Arsenal Park (near 40th St. entrance),Tuesday 4:00 PM-7:00 PM,June-October,Just Harvest Fresh Access
Mallisee Farm,Saltsburg Road at Willow Village,Pittsburgh,PA,15239,40.475162,-79.771779,,Daily 11:00 AM-5:00 PM,July-September,
Market Square Farmer's Market,Market Square,Pittsburgh,PA,15222,40.441025,-80.002645,,Thursday 10:00 AM-2:00 PM,June-October,Just Harvest Fresh Access
Mazurs Greenhouse and Farm,3333 Babcock Boulevard,Pittsburgh,PA,15237,40.533761,-80.019284,Mazurs Autobody,Daily 10:00 AM-4:00 PM,June-October,
McConnell's Hill Farm,294 New Bethlehem Church Road,Aliquippa,PA,15001,40.534606,-80.291745,,Monday-Saturday 10:00 AM-6:00 PM and Sunday 10 AM-4 PM,July-October,
McKees Rocks Green Grocer,1100 Chartiers Avenue,McKees Rocks,PA,15136,40.46563,-80.06818,5 Generation Bakers,Tuesday 12:00 PM-1:00 PM,Year Round,Greater Pittsburgh Community Food Bank
Mellon Square Farmer's Market,529 Smithfield Street,Pittsburgh,PA,15222,40.440903,-79.998276,,Friday 10:30 AM-1:30 PM,June-October,Citiparks
