id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PAGI2450-1,food bank site,A Giving Heart,816 Climax Street,Pittsburgh,PA,15210,Allegheny,,,,40.4198174,-79.9927805,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PADA2545-1,food bank site,Adagio Health ,116 Browns Hill Road,Valencia,PA,16059,Allegheny,,,,40.7134895,-79.9293963,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PADE2513-1,food bank site,Adelphoi Education Millvale,608 Farragut Street,Pittsburgh,PA,15209,Allegheny,,,,40.4801362,-79.9759946,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PADO2493-1,food bank site,Adolecent Medicine UPMC,"4401 Penn Ave., Floor 3",Pittsburgh,PA,15224,Allegheny,,,,40.4675656,-79.9531074,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PAGH2543-1,food bank site,AGH Federal North ,1307 Federal Street,Pittsburgh ,PA,15212,Allegheny,,,,40.4572118,-80.0078136,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PAHN2544-1,food bank site,AHN Center for Diabetes and Endocrine Health ,"2566 Haymaker Road, Professional Office Building One, S",Monroeville,PA,15146,Allegheny,,,,40.4272002,-79.7510938,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PCAT1076-3,food bank site,AHN Healthy Food Center,4921 Mend Way,Pittsburgh,PA,15224,Allegheny,,,,40.4618236,-79.945132,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PALE2259-1,food bank site,Alexis Manor,10100 Old Perry Hwy.,Wexford,PA,15090,Allegheny,,,,40.5971305,-80.0441172,Greater Pittsburgh Community Food Bank,,,0,0,0,0,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PALL1302-1,food bank site,Alle Kiski Area Hope Center,415 E Sixth Avenue,Tarentum,PA,15084,Allegheny,,,,40.6035116,-79.75145,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
,Greater Pittsburgh Community Food Bank,2019-10-10 PGH Food Bank Site Addresses.xlsx,PALL1026-1,food bank site,Allegheny Valley Association of Churches,1913 Freeport Road,Natrona Heights,PA,15065,Allegheny,,,,40.6258138,-79.7227479,Greater Pittsburgh Community Food Bank,,,0,0,0,1,0,1,,
