"file_name","id","source_org","source_file","original_id","type","name","address","city","state","zip_code","county","location_description","phone","url","latitude","longitude","latlng_source","date_from","date_to","open_to_spec_group","data_issues","food_bucks","SNAP","WIC","FMNP","fresh_produce","free_distribution","group_id","merged_record","timestamp"
"food-data/Cleaned_data_files//cleaned_growpgh.csv","1","Grow Pittsburgh","GP_garden_directory_listing-20210322.csv","","Grow PGH Garden","ANGORA GARDENS","3 Muse Lane","White Oak","PA",15131,"","community-farm","412.675.8556","http://www.angoragardens.com",40.342338,-79.788348,"Grow Pittsburgh","","","open to all","no date/time;no county info",0,0,0,0,1,0,NA,"0","2021-10-20 23:13:54"
"food-data/Cleaned_data_files//cleaned_growpgh.csv","2","Grow Pittsburgh","GP_garden_directory_listing-20210322.csv","","Grow PGH Garden","EVERYBODY'S GARDEN","301 West Elizabeth Street","Pittsburgh","PA",15207,"","other","","",40.406546,-79.945442,"Grow Pittsburgh","","","open to all","no date/time;no county info",0,0,0,0,1,0,NA,"0","2021-10-20 23:13:54"
"food-data/Cleaned_data_files//cleaned_growpgh.csv","3","Grow Pittsburgh","GP_garden_directory_listing-20210322.csv","","Grow PGH Garden","GLEN HAZEL COMMUNIUTY GARDEN","Johnston Avenue At Roselle Drive","Pittsburgh","PA",15207,"","other","","",40.40604,-79.931253,"Grow Pittsburgh","","","open to all","no date/time;no county info",0,0,0,0,1,0,NA,"0","2021-10-20 23:13:54"
"food-data/Cleaned_data_files//cleaned_growpgh.csv","4","Grow Pittsburgh","GP_garden_directory_listing-20210322.csv","","Grow PGH Garden","GROW PITTSBURGH","6587 Hamilton Avenue #2w","Pittsburgh","PA",15206,"","grow-pittsburgh-site","412 362 GROW (4769)","http://www.growpittsburgh.org/",40.458481,-79.911381,"Grow Pittsburgh","","","open to all","no date/time;no county info",0,0,0,0,1,0,NA,"0","2021-10-20 23:13:54"
"food-data/Cleaned_data_files//cleaned_growpgh.csv","5","Grow Pittsburgh","GP_garden_directory_listing-20210322.csv","","Grow PGH Garden","LAWRENCEVILLE ORGANIC COMMUNITY GARDEN","Allegheny Cemetery 4734 Butler Street","Pittsburgh","PA",15201,"","other","412 427 8814","",40.477158,-79.956114,"Grow Pittsburgh","","","open to all","no date/time;no county info",0,0,0,0,1,0,NA,"0","2021-10-20 23:13:54"
"food-data/Cleaned_data_files//cleaned_growpgh.csv","6","Grow Pittsburgh","GP_garden_directory_listing-20210322.csv","","Grow PGH Garden","MASJID AL MU'MIN MADINAH GARDEN","159 Winslow Street","Pittsburgh","PA",15206,"","other","412 363 1237","",40.46445,-79.911651,"Grow Pittsburgh","","","open to all","no date/time;no county info",0,0,0,0,1,0,NA,"0","2021-10-20 23:13:54"
"food-data/Cleaned_data_files//cleaned_growpgh.csv","7","Grow Pittsburgh","GP_garden_directory_listing-20210322.csv","","Grow PGH Garden","SOUTH OAKLAND COMMUNITY ORCHARD","3213 Parkview Avenue","Pittsburgh","PA",15213,"","other","","http://southoaklandpgh.org/",40.429834,-79.953578,"Grow Pittsburgh","","","open to all","no date/time;no county info",0,0,0,0,1,0,NA,"0","2021-10-20 23:13:54"
"food-data/Cleaned_data_files//cleaned_growpgh.csv","8","Grow Pittsburgh","GP_garden_directory_listing-20210322.csv","","Grow PGH Garden","THELMA LOVETTE YMCA GARDEN","2114 Centre Avenue","Pittsburgh","PA",15219,"","other","","http://www.ymcapgh.org",40.444369,-79.978126,"Grow Pittsburgh","","","open to all","no date/time;no county info",0,0,0,0,1,0,NA,"0","2021-10-20 23:13:54"
"food-data/Cleaned_data_files//cleaned_growpgh.csv","9","Grow Pittsburgh","GP_garden_directory_listing-20210322.csv","","Grow PGH Garden","WIGGINS GARDEN","Near 3026 Wiggins Street","Pittsburgh","PA",15219,"","other","412 681 1950","http://phcapgh.org/",40.457618,-79.969499,"Grow Pittsburgh","","","open to all","no date/time;no county info",0,0,0,0,1,0,NA,"0","2021-10-20 23:13:54"
"food-data/Cleaned_data_files//cleaned_growpgh.csv","10","Grow Pittsburgh","GP_garden_directory_listing-20210322.csv","","Grow PGH Garden","THE SAMUEL AND ANNA MAE RICHARDSON COMMUNITY GARDEN","5427 Willow Street","Bethel Park","PA",15102,"","community-farm","412.523.8019","https://www.facebook.com/pg/theSamuelandAnnaMaeRichardsonCommunityGarden/",40.323229,-80.0405,"Grow Pittsburgh","","","open to all","no date/time;no county info",0,0,0,0,1,0,NA,"0","2021-10-20 23:13:54"
"food-data/Cleaned_data_files//cleaned_growpgh.csv","11","Grow Pittsburgh","GP_garden_directory_listing-20210322.csv","","Grow PGH Garden","CORAOPOLIS COMMUNITY GARDEN","411 Broadway Avenue","Coraopolis","PA",15108,"","community-farm","(412) 329-8247","https://coraopolisfoundation.org/community-garden/",40.516753,-80.160618,"Grow Pittsburgh","","","open to all","no date/time;no county info",0,0,0,0,1,0,NA,"0","2021-10-20 23:13:54"
"food-data/Cleaned_data_files//cleaned_growpgh.csv","12","Grow Pittsburgh","GP_garden_directory_listing-20210322.csv","","Grow PGH Garden","CRAFTON COMMUNITY FARM","117 West Steuben Street","Crafton","PA",15205,"","community-farm","412) 921-0752","https://www.facebook.com/craftoncommunityfarm",40.438964,-80.072817,"Grow Pittsburgh","","","open to all","no date/time;no county info",0,0,0,0,1,0,NA,"0","2021-10-20 23:13:54"
"food-data/Cleaned_data_files//cleaned_growpgh.csv","13","Grow Pittsburgh","GP_garden_directory_listing-20210322.csv","","Grow PGH Garden","COMMUNITY HUMAN SERVICES TEACHING GARDEN","370 Lawn Street","Pittsburgh","PA",15213,"","community-farm","","",40.433691,-79.961356,"Grow Pittsburgh","","","open to all","no date/time;no county info",0,0,0,0,1,0,NA,"0","2021-10-20 23:13:54"
"food-data/Cleaned_data_files//cleaned_growpgh.csv","14","Grow Pittsburgh","GP_garden_directory_listing-20210322.csv","","Grow PGH Garden","LANDSLIDE COMMUNITY FARM","3 Beelen Street","Pittsburgh","PA",15213,"","community-farm","","https://www.facebook.com/LandslideCommunityFarm",40.43816,-79.97244,"Grow Pittsburgh","","","open to all","no date/time;no county info",0,0,0,0,1,0,NA,"0","2021-10-20 23:13:54"
