file_name,idField,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude
food-data/Cleaned_data_files//additional_food_bucks_sites.csv,2,The Food Trust,Additional Food Bucks sites.xlsx,,,Main Street Farmers Market,139 S Main Street,Washington,PA,15301,Allegheny,,,,40.172985,-80.246581
food-data/Cleaned_data_files//bridgeway_capital_hffi.csv,4,Pittsburgh Food Policy Council,Bridgeway Capital - HFFI Funds.xlsx,,supermarket,52nd Street Market,601 52nd Street,Pittsburgh,PA,15201,Allegheny,,,,40.478792,-79.951927
food-data/Cleaned_data_files//bridgeway_capital_hffi.csv,5,Pittsburgh Food Policy Council,Bridgeway Capital - HFFI Funds.xlsx,,supermarket,Perry's Honeydripper,7006 Frankstown Avenue,Pittsburgh,PA,15208,Allegheny,,,,40.458207,-79.900861
food-data/Cleaned_data_files//bridgeway_capital_hffi.csv,7,Pittsburgh Food Policy Council,Bridgeway Capital - HFFI Funds.xlsx,,supermarket,Butcher on Butler,5145 Butler Street,Pittsburgh,PA,15201,Allegheny,,,,40.479645,-79.955229
food-data/Cleaned_data_files//bridgeway_capital_hffi.csv,8,Pittsburgh Food Policy Council,Bridgeway Capital - HFFI Funds.xlsx,,supermarket,Gluten Free Goat,4905 Penn Avenue,Pittsburgh,PA,15224,Allegheny,,,,40.465487,-79.944923
food-data/Cleaned_data_files//bridgeway_capital_hffi.csv,9,Pittsburgh Food Policy Council,Bridgeway Capital - HFFI Funds.xlsx,,supermarket,LA Market,511 Larimer Avenue,Pittsburgh,PA,15206,Allegheny,,,,40.465564,-79.914164
food-data/Cleaned_data_files//bridgeway_capital_hffi.csv,10,Pittsburgh Food Policy Council,Bridgeway Capital - HFFI Funds.xlsx,,supermarket,Day La Soul,829-831 E. Warrington Avenue,Pittsburgh,PA,15210,Allegheny,,,,40.4216501,-79.9951377
food-data/Cleaned_data_files//cleaned_agh_wic.csv,11,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3150892,,Community Market,1710 Pacific Avenue,Natrona Heights,PA,15065,,,,,40.621111,-79.724091
food-data/Cleaned_data_files//cleaned_agh_wic.csv,12,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3148048,,Community Market,1117 Mill Town Road,Verona,PA,15147,,,,,40.4985,-79.79006
food-data/Cleaned_data_files//cleaned_agh_wic.csv,13,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3083227,,Coraopolis Cash Market,1017 Fourth Avenue,Coraopolis,PA,15108,,,,,40.518315,-80.162816
food-data/Cleaned_data_files//cleaned_agh_wic.csv,14,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2693039,supermarket,Giant Eagle,5055 Library Road,Bethel Park,PA,15102,,,,,40.338708,-80.024353
food-data/Cleaned_data_files//cleaned_agh_wic.csv,15,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2805222,supermarket,Giant Eagle,254 Yost Boulevard,Braddock Hills,PA,15221,,,,,40.414499,-79.855295
food-data/Cleaned_data_files//cleaned_agh_wic.csv,16,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3161264,supermarket,Giant Eagle,600 Towne Square Way,Brentwood,PA,15227,,,,,40.366271,-79.983039
food-data/Cleaned_data_files//cleaned_agh_wic.csv,17,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2654758,supermarket,Giant Eagle,132 Ben Avon Heights Road,Camp Horne,PA,15237,,,,,40.522015,-80.070503
food-data/Cleaned_data_files//cleaned_agh_wic.csv,19,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3029807,supermarket,Giant Eagle,9901 Mountain View Drive,Century III,PA,15122,,,,,40.339666,-79.949754
food-data/Cleaned_data_files//cleaned_agh_wic.csv,21,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,80632,supermarket,Giant Eagle,1705 S. Braddock Avenue,Edgewood,PA,15218,,,,,40.425644,-79.886852
food-data/Cleaned_data_files//cleaned_agh_wic.csv,22,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3168164,supermarket,Giant Eagle,800 Mckeesport Road,Elizabeth,PA,15037,,,,,40.279897,-79.875592
food-data/Cleaned_data_files//cleaned_agh_wic.csv,23,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2845101,supermarket,Giant Eagle,910 Freeport Road,Fox Chapel,PA,15238,,,,,40.48978,-79.89374
food-data/Cleaned_data_files//cleaned_agh_wic.csv,24,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3099409,supermarket,Giant Eagle,9001 Frankstown Road,Frankstown,PA,15235,,,,,40.462675,-79.865261
food-data/Cleaned_data_files//cleaned_agh_wic.csv,26,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2835432,supermarket,Giant Eagle,420 East Waterfront Drive,Homestead,PA,15120,,,,,40.411484,-79.90877
food-data/Cleaned_data_files//cleaned_agh_wic.csv,27,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2701552,supermarket,Giant Eagle,1800 Mckees Rocks Road,Kennedy Twp.,PA,15136,,,,,40.467797,-80.097647
food-data/Cleaned_data_files//cleaned_agh_wic.csv,29,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3119721,supermarket,Giant Eagle,4680 Old William Penn Highway,Monroeville,PA,15146,,,,,40.439216,-79.743366
food-data/Cleaned_data_files//cleaned_agh_wic.csv,30,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2952691,supermarket,Giant Eagle,4010 Monroeville Boulevard,Monroeville Blvd.,PA,15146,,,,,40.432367,-79.772169
food-data/Cleaned_data_files//cleaned_agh_wic.csv,31,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3168226,supermarket,Giant Eagle,5990 University Boulevard,Moon Twp.,PA,15108,,,,,40.521952,-80.220568
food-data/Cleaned_data_files//cleaned_agh_wic.csv,32,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,16296,supermarket,Giant Eagle,8050 Mcknight Road,North Hills,PA,15237,,,,,40.554889,-80.018984
food-data/Cleaned_data_files//cleaned_agh_wic.csv,34,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3174633,supermarket,Giant Eagle,1701 Lincoln Highway,North Versailles,PA,15137,,,,,40.372166,-79.788541
food-data/Cleaned_data_files//cleaned_agh_wic.csv,36,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2663456,supermarket,Giant Eagle,230 Rodi Road,Penn Hills,PA,15235,,,,,40.461922,-79.825159
food-data/Cleaned_data_files//cleaned_agh_wic.csv,38,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3158672,supermarket,Giant Eagle,155 Towne Centre Drive,Pine Township,PA,15090,,,,,40.63379,-80.0554
food-data/Cleaned_data_files//cleaned_agh_wic.csv,39,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3152683,supermarket,Giant Eagle,100 Settlers Ridge Center Drive,Robinson Twp.,PA,15205,,,,,40.441646,-80.151352
food-data/Cleaned_data_files//cleaned_agh_wic.csv,40,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2760795,supermarket,Giant Eagle,5550 Centre Avenue,Shadyside,PA,15232,,,,,40.456474,-79.934462
food-data/Cleaned_data_files//cleaned_agh_wic.csv,41,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3155863,supermarket,Giant Eagle,1671 Butler Plank Road,Shaler,PA,15116,,,,,40.537553,-79.964918
food-data/Cleaned_data_files//cleaned_agh_wic.csv,43,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2929702,supermarket,Giant Eagle,2021 Wharton Street,South Side,PA,15203,,,,,40.432044,-79.977774
food-data/Cleaned_data_files//cleaned_agh_wic.csv,44,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2977355,supermarket,Giant Eagle,1901 Murray Avenue,Squirrel Hill,PA,15217,,,,,40.435673,-79.922564
food-data/Cleaned_data_files//cleaned_agh_wic.csv,45,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2869549,supermarket,Giant Eagle,200 Allegheny River Boulevard,Verona,PA,15147,,,,,40.49926,-79.844413
food-data/Cleaned_data_files//cleaned_agh_wic.csv,46,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2914092,supermarket,Giant Eagle,7000 Oxford Drive,Village Square,PA,15102,,,,,40.346817,-80.047257
food-data/Cleaned_data_files//cleaned_agh_wic.csv,47,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2712572,supermarket,Giant Eagle,1717 Cochran Road,Virginia Manor,PA,15220,,,,,40.39248,-80.06582
food-data/Cleaned_data_files//cleaned_agh_wic.csv,48,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3141762,supermarket,Giant Eagle,1356 Hoffman Boulevard,West Mifflin,PA,15122,,,,,40.384128,-79.868332
food-data/Cleaned_data_files//cleaned_agh_wic.csv,50,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,2976969,supermarket,Giant Eagle,2001 Lincoln Way,White Oak,PA,15131,,,,,40.337059,-79.805657
food-data/Cleaned_data_files//cleaned_agh_wic.csv,51,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3162107,supermarket,Giant Eagle Express,2611 Freeport Road,Harmar,PA,15238,,,,,40.537821,-79.838774
food-data/Cleaned_data_files//cleaned_agh_wic.csv,52,Western Pennsylvania Regional Data Center,Allegheny_County_WIC_Vendor_Locations.csv,3162338,,Gorkhali Store,2116 Brownsville Road,Mt. Oliver,PA,15210,,,,,40.392705,-79.987105
