id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
1,The Food Trust,Additional Food Bucks sites.xlsx,NA,NA,Shop 'n Save,336 8th St,New Kensington,PA,15068,NA,NA,NA,NA,40.563835,-79.767461,NA,NA,NA,1,NA,1,NA,1,0,NA,NA
2,The Food Trust,Additional Food Bucks sites.xlsx,NA,NA,Dylamato's Market,5414 Second Avenue,Pittsburgh,PA,15207,NA,NA,NA,NA,40.402331,-79.9416538,NA,NA,NA,1,NA,1,NA,1,0,NA,NA
3,The Food Trust,Additional Food Bucks sites.xlsx,NA,NA,Main Street Farmers Market,139 S Main St,Washington,PA,15301,NA,NA,NA,NA,40.1688309,-80.2454369,NA,NA,NA,1,NA,1,NA,1,0,NA,NA
4,Allegheny County Health Department,Allegheny_County_Farmers_Markets_Locations_2019.csv,NA,farmer's market,Ambridge Farmer's Market,624 Park Road,Ambridge,PA,15003,Allegheny,"St. Mary's Church parking lot, near Do It Best; Thursday 4:00 PM-7:00 PM",NA,NA,40.586729,-80.229576,Allegheny County Health Department,June 1,November 30,1,1,1,1,1,0,NA,NA
5,Allegheny County Health Department,Allegheny_County_Farmers_Markets_Locations_2019.csv,NA,farmer's market,Aspinwall Flea Market,217 Commerical Avenue,Aspinwall,PA,15215,Allegheny,Municipal parking lot; Sunday 7:00 AM-1:00 PM,NA,NA,40.490575,-79.90430500000001,Allegheny County Health Department,June 1,November 30,1,1,1,1,1,0,NA,NA
6,Allegheny County Health Department,Allegheny_County_Farmers_Markets_Locations_2019.csv,NA,farmer's market,Bachman's Greenhouse and Nursery,2905 Freeport Road,Natrona Heights,PA,15065,Allegheny,Daily 8:00 AM-7:00 PM,NA,NA,40.640015000000005,-79.711384,Allegheny County Health Department,June 1,October 31,1,1,1,1,1,0,NA,NA
7,Allegheny County Health Department,Allegheny_County_Farmers_Markets_Locations_2019.csv,NA,farmer's market,Bachman's Greenhouse and Nursery,Route 908 & Ekastown Road,Natrona Heights,PA,15065,Allegheny,Daily 10:00 AM-6:00 PM,NA,NA,40.667206,-79.730284,Allegheny County Health Department,July 1,October 31,1,1,1,1,1,0,NA,NA
8,Allegheny County Health Department,Allegheny_County_Farmers_Markets_Locations_2019.csv,NA,farmer's market,Beccari's Farm Market,5095 Thoms Run Road,Oakdale,PA,15071,Allegheny,Tuesday-Friday 12:00 PM-5:00 PM and Saturday-Sunday 12:00 PM-4:00 PM,NA,NA,40.373965000000005,-80.133129,Allegheny County Health Department,June 1,October 31,1,1,1,1,1,0,NA,NA
9,Allegheny County Health Department,Allegheny_County_Farmers_Markets_Locations_2019.csv,NA,farmer's market,Bedner's Farm,1520 Bower Hill Road,Pittsburgh,PA,15220,Allegheny,Daily 9:00 AM-6:00 PM,NA,NA,40.361146000000005,-80.089128,Allegheny County Health Department,June 1,October 31,1,1,1,1,1,0,NA,NA
10,Allegheny County Health Department,Allegheny_County_Farmers_Markets_Locations_2019.csv,NA,farmer's market,Beechview Fresh Access,Broadway Avenue & Hampshire Avenue,Pittsburgh,PA,15216,Allegheny,Thursday 4:00 PM-7:00 PM,NA,NA,40.410567,-80.02467299999999,Allegheny County Health Department,June 20,September 12,1,1,1,1,1,0,NA,NA
11,Allegheny County Health Department,Allegheny_County_Farmers_Markets_Locations_2019.csv,NA,farmer's market,Bellevue Farmer's Market,34 N. Balph Avenue,Pittsburgh,PA,15202,Allegheny,Bayne Park; Wednesday 3:00 PM-7:00 PM,NA,NA,40.496526,-80.054299,Allegheny County Health Department,June 1,October 31,1,1,1,1,1,0,NA,NA
12,Allegheny County Health Department,Allegheny_County_Farmers_Markets_Locations_2019.csv,NA,farmer's market,Bethel Park Farmer's Market,Corrigan Drive,Bethel Park,PA,15102,Allegheny,South Park VIP parking lot; Tuesday 3:00 PM-7:00 PM,NA,NA,40.319687,-80.00854100000001,Allegheny County Health Department,June 1,September 30,1,1,1,1,1,0,NA,NA
13,Allegheny County Health Department,Allegheny_County_Farmers_Markets_Locations_2019.csv,NA,farmer's market,Blackberry Meadows Farm,7115 Ridge Road,Natrona Heights,PA,15065,Allegheny,Wednesday 11:00 AM-7:00 PM,NA,NA,40.657587,-79.747334,Allegheny County Health Department,June 1,October 31,1,1,1,1,1,0,NA,NA
14,Allegheny County Health Department,Allegheny_County_Farmers_Markets_Locations_2019.csv,NA,farmer's market,Bloomfield Farmer's Market,5050 Liberty Avenue,Pittsburgh,PA,15224,Allegheny,Saturday 9:00 AM-1:00 PM,NA,NA,40.459003,-79.94449300000001,Allegheny County Health Department,June 1,November 30,1,1,1,1,1,0,NA,NA
15,Allegheny County Health Department,Allegheny_County_Farmers_Markets_Locations_2019.csv,NA,farmer's market,Braddock Farm Stand,6th Street & Braddock Avenue,Braddock,PA,15104,Allegheny,Saturday 10:00 AM-2:00 PM,NA,NA,40.403283,-79.868588,Allegheny County Health Department,June 1,October 31,1,1,1,1,1,0,NA,NA
16,Allegheny County Health Department,Allegheny_County_Farmers_Markets_Locations_2019.csv,NA,farmer's market,Bridge's Farm,7108 Leechburg Road,New Kenington,PA,15068,Allegheny,Monday-Saturday 9:00 AM-6:00 PM and Sunday 9:00 AM-5:00 PM,NA,NA,40.517658000000004,-79.764416,Allegheny County Health Department,June 1,November 30,1,1,1,1,1,0,NA,NA
17,Allegheny County Health Department,Allegheny_County_Farmers_Markets_Locations_2019.csv,NA,farmer's market,Carrick Farmer's Market,1529 Brownsville Road,Pittsburgh,PA,15210,Allegheny,Wednesday 3:00 PM-7:00 PM,NA,NA,40.400141,-79.988968,Allegheny County Health Department,June 1,November 30,1,1,1,1,1,0,NA,NA
18,Allegheny County Health Department,Allegheny_County_Farmers_Markets_Locations_2019.csv,NA,farmer's market,Clairton Green Grocer,533 Miller Avenue,Clairton,PA,15025,Allegheny,Family Dollar parking lot; Wednesday 3:00 PM-4:00 PM,NA,NA,40.294044,-79.883259,Allegheny County Health Department,January 1,December 31,1,1,1,1,1,0,NA,NA
